POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,21,41:04.6,-,-,180.504,01:44.9,13
6,,,,,,,
N. TsolovCampos Racing,,,,,,,
2,21,41:05.9,1.291,1.291,180.409,01:45.1,13
9,,,,,,,
G. MinìMP Motorsport,,,,,,,
3,21,41:06.3,1.698,0.407,180.38,01:45.1,17
23,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
4,21,41:07.6,3.012,1.314,180.283,01:44.9,17
16,,,,,,,
K. MainiART Grand Prix,,,,,,,
5,21,41:11.3,6.693,3.681,180.015,01:45.1,19
17,,,,,,,
T. InthraphuvasakART Grand Prix,,,,,,,
6,21,41:13.5,8.83,2.137,179.859,01:44.9,20
7,,,,,,,
D. BeganovicDAMS Lucas Oil,,,,,,,
7,21,41:14.5,9.904,1.074,179.781,01:45.0,18
8,,,,,,,
R. BilinskiDAMS Lucas Oil,,,,,,,
8,21,41:15.4,10.799,0.895,179.716,01:45.3,18
2,,,,,,,
J. DürksenInvicta Racing,,,,,,,
9,21,41:16.3,11.627,0.828,179.656,01:45.0,18
15,,,,,,,
A. DunneRodin Motorsport,,,,,,,
10,21,41:17.2,12.559,0.932,179.589,01:45.1,20
1,,,,,,,
R. CâmaraInvicta Racing,,,,,,,
11,21,41:23.4,18.746,6.187,179.141,01:46.1,17
3,,,,,,,
R. MiyataHitech TGR,,,,,,,
12,21,41:24.3,19.641,0.895,179.077,01:45.4,20
5,,,,,,,
N. LeónCampos Racing,,,,,,,
13,21,41:28.0,23.405,3.764,178.806,01:45.7,13
12,,,,,,,
M. BoyaPREMA Racing,,,,,,,
14,21,41:28.3,23.645,0.24,178.789,01:46.1,17
24,,,,,,,
L. van HoepenTRIDENT,,,,,,,
15,21,41:28.6,23.924,0.279,178.768,01:46.0,14
4,,,,,,,
C. HertaHitech TGR,,,,,,,
16,21,41:30.5,25.882,1.958,178.628,01:45.8,17
10,,,,,,,
O. GoetheMP Motorsport,,,,,,,
17,21,41:32.5,27.873,1.991,178.485,01:46.1,18
20,,,,,,,
E. FittipaldiAIX Racing,,,,,,,
18,21,41:33.2,28.559,0.686,178.436,01:45.8,20
22,,,,,,,
N. VarroneVan Amersfoort Racing,,,,,,,
19,21,42:14.3,69.675,41.116,175.541,01:44.5,9
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
20,21,43:30.1,145.512,75.837,170.441,01:46.2,12
14,,,,,,,
M. StenshorneRodin Motorsport,,,,,,,
DNF,1,01:56.2,DNF,-,178.35,-,-
11,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
DNF,1,02:02.3,DNF,-,169.406,-,-
25,,,,,,,
J. BennettTRIDENT,,,,,,,
,,,,,,,
