POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,11,01:39.7,-,-,212.735,15:19:43
1,,,,,,
R. CâmaraInvicta Racing,,,,,,
2,11,01:39.9,0.201,0.201,212.307,15:19:53
15,,,,,,
A. DunneRodin Motorsport,,,,,,
3,10,01:39.9,0.202,0.001,212.305,15:19:26
16,,,,,,
K. MainiART Grand Prix,,,,,,
4,11,01:40.0,0.277,0.075,212.146,15:19:06
8,,,,,,
R. BilinskiDAMS Lucas Oil,,,,,,
5,10,01:40.0,0.282,0.005,212.135,15:18:50
6,,,,,,
N. TsolovCampos Racing,,,,,,
6,11,01:40.2,0.553,0.271,211.561,15:19:56
17,,,,,,
T. InthraphuvasakART Grand Prix,,,,,,
7,11,01:40.3,0.619,0.066,211.422,15:19:24
2,,,,,,
J. DürksenInvicta Racing,,,,,,
8,12,01:40.3,0.638,0.019,211.382,15:20:06
23,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
9,10,01:40.4,0.672,0.034,211.311,15:18:54
3,,,,,,
R. MiyataHitech TGR,,,,,,
10,11,01:40.4,0.692,0.02,211.268,15:18:45
9,,,,,,
G. MinìMP Motorsport,,,,,,
11,12,01:40.5,0.771,0.079,211.102,15:18:47
7,,,,,,
D. BeganovicDAMS Lucas Oil,,,,,,
12,10,01:40.5,0.78,0.009,211.083,15:18:42
12,,,,,,
M. BoyaPREMA Racing,,,,,,
13,12,01:40.5,0.796,0.016,211.05,15:18:34
10,,,,,,
O. GoetheMP Motorsport,,,,,,
14,11,01:40.5,0.839,0.043,210.96,15:18:58
11,,,,,,
S. MontoyaPREMA Racing,,,,,,
15,12,01:40.5,0.849,0.01,210.939,15:20:11
4,,,,,,
C. HertaHitech TGR,,,,,,
16,12,01:40.5,0.857,0.008,210.922,15:18:40
5,,,,,,
N. LeónCampos Racing,,,,,,
17,12,01:40.5,0.858,0.001,210.92,15:19:31
14,,,,,,
M. StenshorneRodin Motorsport,,,,,,
18,13,01:40.6,0.862,0.004,210.911,15:19:02
25,,,,,,
J. BennettTRIDENT,,,,,,
19,12,01:40.6,0.891,0.029,210.85,15:19:48
22,,,,,,
N. VarroneVan Amersfoort Racing,,,,,,
20,12,01:40.6,0.945,0.054,210.737,15:19:11
24,,,,,,
L. van HoepenTRIDENT,,,,,,
21,11,01:40.8,1.092,0.147,210.43,15:19:59
20,,,,,,
E. FittipaldiAIX Racing,,,,,,
22,13,01:41.0,1.282,0.19,210.034,15:19:17
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
