POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,28,51:33.9,-,-,200.857,01:45.8,27
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
2,28,51:35.6,1.701,1.701,200.747,01:47.1,26
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
3,28,51:39.8,5.852,4.151,200.478,01:47.3,27
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
4,28,51:40.5,6.574,0.722,200.431,01:47.0,28
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
5,28,51:43.9,9.992,3.418,200.211,01:47.0,27
3,,,,,,,
J. MartíCampos Racing,,,,,,,
6,28,51:44.5,10.607,0.615,200.171,01:47.1,23
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
7,28,51:49.3,15.42,4.813,199.861,01:47.0,28
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
8,28,51:50.3,16.376,0.956,199.8,01:46.9,24
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
9,28,51:53.4,19.518,3.142,199.598,01:47.3,23
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
10,28,51:53.5,19.604,0.086,199.592,01:47.2,26
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
11,28,51:53.8,19.867,0.263,199.576,01:46.2,25
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
12,28,51:54.6,20.654,0.787,199.525,01:46.8,26
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
13,28,51:59.4,25.492,4.838,199.216,01:46.4,28
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
14,28,52:00.3,26.399,0.907,199.158,01:46.8,23
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
15,28,52:01.2,27.313,0.914,199.099,01:47.7,19
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
16,28,52:01.9,27.947,0.634,199.059,01:47.6,22
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
17,28,52:07.7,33.771,5.824,198.688,01:47.2,25
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
18,28,52:07.9,33.93,0.159,198.678,01:47.5,22
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
19,28,52:24.2,50.274,16.344,197.646,01:47.1,27
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
20,27,52:08.7,1 LAP,1 LAP,191.519,01:46.3,27
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
DNF,23,43:02.5,DNF,-,197.601,01:47.4,21
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
DNF,7,13:25.3,DNF,-,192.075,01:49.6,6
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
,,,,,,,
