POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,10,01:43.6,-,-,214.584,18:39:46
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
2,11,01:43.6,0.022,0.022,214.538,18:39:21
14,,,,,,
V. MartinsART Grand Prix,,,,,,
3,12,01:43.7,0.092,0.07,214.393,18:38:58
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
4,13,01:43.7,0.158,0.066,214.257,18:24:35
7,,,,,,
L. BrowningHitech TGR,,,,,,
5,12,01:43.7,0.164,0.006,214.244,18:38:46
4,,,,,,
A. LindbladCampos Racing,,,,,,
6,12,01:43.8,0.222,0.058,214.125,18:39:09
17,,,,,,
A. DunneRodin Motorsport,,,,,,
7,12,01:43.8,0.252,0.03,214.063,18:38:51
3,,,,,,
J. MartíCampos Racing,,,,,,
8,13,01:43.8,0.263,0.011,214.04,18:24:29
10,,,,,,
G. MinìPREMA Racing,,,,,,
9,11,01:43.9,0.337,0.074,213.888,18:38:41
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
10,11,01:44.0,0.4,0.063,213.758,18:39:01
2,,,,,,
R. StanekInvicta Racing,,,,,,
11,12,01:44.1,0.507,0.107,213.538,18:24:46
5,,,,,,
O. GoetheMP Motorsport,,,,,,
12,10,01:44.2,0.574,0.067,213.401,18:39:42
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
13,13,01:44.2,0.582,0.008,213.385,18:24:42
8,,,,,,
D. BeganovicHitech TGR,,,,,,
14,11,01:44.2,0.615,0.033,213.317,18:39:18
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
15,11,01:44.3,0.686,0.071,213.172,18:39:39
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
16,11,01:44.5,0.881,0.195,212.774,18:39:24
15,,,,,,
R. MiyataART Grand Prix,,,,,,
17,12,01:44.5,0.952,0.071,212.629,18:38:19
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
18,11,01:44.5,0.964,0.012,212.605,18:38:49
20,,,,,,
J. DürksenAIX Racing,,,,,,
19,12,01:44.9,1.327,0.363,211.869,18:40:39
23,,,,,,
M. EstersonTRIDENT,,,,,,
20,12,01:45.0,1.386,0.059,211.75,18:39:05
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
21,9,01:45.2,1.573,0.187,211.374,18:11:21
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
22,10,01:45.7,2.104,0.531,210.311,18:39:14
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
