POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,12,01:29.3,-,-,212.808,17:57:24
10,,,,,,
G. MinìPREMA Racing,,,,,,
2,13,01:29.4,0.114,0.114,212.536,17:56:49
14,,,,,,
V. MartinsART Grand Prix,,,,,,
3,12,01:29.6,0.301,0.187,212.093,17:53:24
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
4,13,01:29.7,0.364,0.063,211.944,17:57:17
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
5,14,01:29.8,0.516,0.152,211.585,17:54:06
17,,,,,,
A. DunneRodin Motorsport,,,,,,
6,14,01:29.8,0.549,0.033,211.507,17:54:10
2,,,,,,
R. StanekInvicta Racing,,,,,,
7,14,01:29.9,0.565,0.016,211.47,17:56:47
8,,,,,,
D. BeganovicHitech TGR,,,,,,
8,14,01:29.9,0.581,0.016,211.432,17:56:43
7,,,,,,
L. BrowningHitech TGR,,,,,,
9,15,01:29.9,0.652,0.071,211.265,17:57:39
20,,,,,,
J. DürksenAIX Racing,,,,,,
10,15,01:29.9,0.662,0.01,211.242,17:43:44
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
11,14,01:30.0,0.727,0.065,211.089,18:01:01
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
12,15,01:30.0,0.731,0.004,211.08,17:56:51
15,,,,,,
R. MiyataART Grand Prix,,,,,,
13,12,01:30.1,0.772,0.041,210.984,17:57:33
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
14,14,01:30.1,0.803,0.031,210.911,17:57:00
4,,,,,,
A. LindbladCampos Racing,,,,,,
15,14,01:30.2,0.953,0.15,210.56,17:57:54
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
16,15,01:30.3,0.985,0.032,210.486,18:00:56
3,,,,,,
J. MartíCampos Racing,,,,,,
17,14,01:30.4,1.066,0.081,210.297,17:57:14
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
18,16,01:30.7,1.37,0.304,209.592,17:57:05
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
19,9,01:31.3,2.022,0.652,208.095,17:54:32
5,,,,,,
O. GoetheMP Motorsport,,,,,,
20,15,01:31.4,2.12,0.098,207.872,17:40:06
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
21,16,01:31.5,2.23,0.11,207.622,18:01:07
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
