POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,23,41:30.2,-,-,175.495,01:32.8,22
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
2,23,41:32.4,2.198,2.198,175.34,01:32.9,21
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
3,23,41:33.1,2.879,0.681,175.292,01:32.9,22
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
4,23,41:33.8,3.585,0.706,175.242,01:33.0,22
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
5,23,41:34.4,4.153,0.568,175.202,01:32.9,22
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
6,23,41:34.8,4.611,0.458,175.17,01:32.9,20
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
7,23,41:35.1,4.877,0.266,175.152,01:32.8,21
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
8,23,41:35.7,5.486,0.609,175.109,01:32.8,23
3,,,,,,,
J. MartíCampos Racing,,,,,,,
9,23,41:40.0,9.776,4.29,174.808,01:32.8,20
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
10,23,41:41.0,10.775,0.999,174.739,01:33.1,21
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
11,23,41:41.2,11.021,0.246,174.721,01:33.3,21
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
12,23,41:42.4,12.245,1.224,174.636,01:33.4,20
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
13,23,41:43.6,13.403,1.158,174.555,01:33.5,22
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
14,23,41:45.9,15.699,2.296,174.395,01:33.8,23
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
15,23,41:46.9,16.744,1.045,174.323,01:33.7,21
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
16,23,41:50.3,20.12,3.376,174.088,01:33.8,23
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
17,23,41:52.2,21.976,1.856,173.959,01:34.3,22
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
18,23,41:56.7,26.454,4.478,173.65,01:34.7,21
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
DNF,13,24:31.5,DNF,-,167.865,01:35.3,12
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,5,08:40.9,DNF,-,182.368,01:35.2,5
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
DNF,2,03:26.7,DNF,-,183.807,01:38.3,2
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
DNF,1,01:47.5,DNF,-,176.749,-,-
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
,,,,,,,
