POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,21,36:53.1,-,-,201.018,01:44.5,21
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
2,21,36:54.5,1.404,1.404,200.89,01:44.2,20
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
3,21,37:02.5,9.395,7.991,200.168,01:44.5,21
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
4,21,37:04.3,11.188,1.793,200.007,01:45.1,14
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
5,21,37:05.0,11.866,0.678,199.946,01:45.1,20
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
6,21,37:05.0,11.867,0.001,199.946,01:45.0,20
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
7,21,37:06.7,13.534,1.667,199.796,01:44.6,13
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
8,21,37:07.9,14.826,1.292,199.68,01:45.1,9
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
9,21,37:08.1,14.962,0.136,199.668,01:45.2,15
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
10,21,37:09.0,15.872,0.91,199.586,01:44.8,15
3,,,,,,,
J. MartíCampos Racing,,,,,,,
11,21,37:14.9,21.745,5.873,199.062,01:44.6,15
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
12,21,37:05.9,22.81,0.943,199.861,01:44.7,9
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
13,21,37:16.9,23.77,2.025,198.882,01:44.9,20
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
14,21,37:18.5,25.408,1.638,198.736,01:44.7,15
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
15,21,37:19.5,26.366,0.958,198.651,01:45.2,20
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
16,21,37:23.0,29.842,3.476,198.343,01:45.4,16
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
17,21,37:25.1,31.988,2.146,198.154,01:45.3,14
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
18,21,37:26.6,33.483,1.495,198.022,01:45.2,6
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
19,21,37:27.4,34.259,0.776,197.953,01:45.5,14
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
20,21,37:33.3,40.218,5.959,197.43,01:45.3,16
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
21,21,37:40.0,46.845,6.627,196.851,01:45.4,16
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
DNF,15,28:11.3,DNF,-,187.805,01:44.4,11
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
,,,,,,,
