POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,29,03:05.3,-,-,162.348,02:02.0,2
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
2,29,03:05.5,0.227,0.227,162.338,02:02.4,2
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
3,29,03:06.1,0.838,0.611,162.312,02:02.7,21
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
4,29,03:06.7,1.369,0.531,162.289,02:03.2,22
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
5,29,03:07.1,1.753,0.384,162.273,02:03.4,19
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
6,29,03:07.5,2.215,0.462,162.253,02:03.4,22
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
7,29,03:08.3,3.035,0.82,162.218,02:03.7,21
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
8,29,03:09.1,3.779,0.744,162.186,02:00.1,22
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
9,29,03:09.5,4.186,0.407,162.169,02:03.4,3
3,,,,,,,
J. MartíCampos Racing,,,,,,,
10,29,03:09.8,4.467,0.281,162.157,02:02.5,21
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
11,29,03:10.2,4.905,0.438,162.138,02:03.6,10
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
12,29,03:10.6,5.333,0.428,162.119,02:03.5,22
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
13,29,03:11.6,6.284,0.951,162.079,02:04.1,21
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
14,29,03:11.8,6.502,0.218,162.07,02:02.6,26
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
15,29,03:14.2,8.929,2.427,161.966,02:04.5,18
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
16,29,03:25.6,20.277,11.348,161.483,02:04.5,13
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
17,29,03:30.2,24.874,4.597,161.288,02:01.6,27
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
18,29,04:20.9,75.614,50.74,159.168,02:04.3,21
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,28,00:31.3,DNF,-,163.392,02:02.6,2
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
DNF,27,58:00.2,DNF,-,164.392,02:02.5,22
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
DNF,22,45:37.4,DNF,-,170.264,02:03.1,20
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
DNF,21,43:49.5,DNF,-,169.185,02:03.9,7
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
,,,,,,,
