POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,10,01:39.7,-,-,212.648,15:24:52
14,,,,,,
V. MartinsART Grand Prix,,,,,,
2,13,01:39.8,0.065,0.065,212.509,15:25:01
17,,,,,,
A. DunneRodin Motorsport,,,,,,
3,10,01:40.0,0.24,0.175,212.137,15:23:50
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
4,10,01:40.1,0.334,0.094,211.938,15:24:35
2,,,,,,
R. StanekInvicta Racing,,,,,,
5,10,01:40.1,0.407,0.073,211.783,15:23:54
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
6,11,01:40.2,0.438,0.031,211.718,15:24:38
20,,,,,,
J. DürksenAIX Racing,,,,,,
7,10,01:40.3,0.595,0.157,211.386,15:24:19
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
8,11,01:40.3,0.606,0.011,211.363,15:24:04
8,,,,,,
D. BeganovicHitech TGR,,,,,,
9,11,01:40.4,0.649,0.043,211.273,15:24:42
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
10,12,01:40.4,0.697,0.048,211.172,15:29:15
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
11,12,01:40.5,0.769,0.072,211.02,15:24:27
4,,,,,,
A. LindbladCampos Racing,,,,,,
12,11,01:40.7,1.004,0.235,210.528,15:24:01
7,,,,,,
L. BrowningHitech TGR,,,,,,
13,12,01:40.8,1.104,0.1,210.319,15:24:32
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
14,12,01:40.9,1.211,0.107,210.096,15:24:16
23,,,,,,
M. EstersonTRIDENT,,,,,,
15,10,01:41.0,1.265,0.054,209.984,15:25:15
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
16,11,01:41.1,1.337,0.072,209.834,15:28:15
10,,,,,,
G. MinìPREMA Racing,,,,,,
17,10,01:41.2,1.449,0.112,209.602,15:25:07
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
18,11,01:41.2,1.48,0.031,209.538,15:05:45
5,,,,,,
O. GoetheMP Motorsport,,,,,,
19,12,01:41.3,1.602,0.122,209.286,15:28:29
3,,,,,,
J. MartíCampos Racing,,,,,,
20,11,01:42.0,2.256,0.654,207.944,15:28:58
21,,,,,,
C. ShieldsAIX Racing,,,,,,
16,4,02:18.8,39.097,36.841,152.761,15:00:47
A. CordeelRodin Motorsport,,,,,,
,,,,,,
