Pos.,Driver,Time,Points
1,Nicola Lacorte,40:35.5,25
2,Tuukka Taponen,+0.723s,18
3,Taito Kato,+2.212s,15
4,Yevan David,+4.041s,12
5,Kanato Le,+4.403s,10
6,Hiyu Yamakoshi,+6.225s,8
7,Noah Stromsted,+6.925s,6
8,Ugo Ugochukwu,+7.295s,4
9,Enzo Deligny,+8.841s,3
10,James Wharton,+9.364s,1
11,Jose Garfias,+9.677s,0
12,Bruno Del Pino,+9.988s,0
13,Christian Ho,+10.624s,0
14,Alex Powell,+10.956s,0
15,Ricardo Escotto,+11.526s,0
16,Matteo De Palo,+12.292s,0
17,Théophile Naël,+14.938s,0
18,Maciej Gladysz,+15.620s,0
19,Mattia Colnaghi,+18.425s,0
20,Jin Nakamura,+22.399s,0
21,Pedro Clerot,+25.317s,0
22,Woohyun Shin,+25.935s,0
23,Nandhavud Bhirombhakdi,+45.365s,0
24,Brando Badoer,+47.645s,0
25,Alessandro Giusti,DNF,0
NC,Fernando Barrichello,DNF,0
NC,Freddie Slater,DNF,0
NC,Ernesto Rivera,DNF,0
NC,Fionn Mclaughlin,DNF,0
NC,Gerrard Xie,DNF,0
