POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,28,46:29.8,-,-,158.24,01:34.1,27
3,,,,,,,
J. MartíCampos Racing,,,,,,,
2,28,46:30.0,0.225,0.225,158.227,01:34.1,21
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
3,28,46:31.8,1.964,1.739,158.129,01:34.2,9
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
4,28,46:34.3,4.503,0.506,157.985,01:34.6,7
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
5,28,46:34.9,5.116,0.613,157.95,01:34.5,9
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
6,28,46:35.1,5.271,0.155,157.942,01:34.7,9
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
7,28,46:35.4,5.565,0.294,157.925,01:34.5,11
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
8,28,46:35.8,5.969,0.404,157.902,01:34.7,10
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
9,28,46:36.8,7.039,1.07,157.842,01:34.2,19
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
10,28,46:38.0,8.193,1.154,157.777,01:34.4,10
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
11,28,46:38.1,8.264,1.225,157.773,01:34.8,18
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
12,28,46:38.8,8.997,0.733,157.731,01:34.2,9
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
13,28,46:38.9,9.109,0.845,157.725,01:34.7,9
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
14,28,46:40.4,10.564,1.455,157.643,01:31.9,21
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
15,28,46:41.3,11.465,0.901,157.592,01:34.8,15
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
16,28,46:41.6,11.813,0.348,157.573,01:34.9,19
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
17,28,46:42.3,12.524,0.711,157.533,01:35.0,11
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
18,28,46:43.2,13.374,0.85,157.485,01:34.8,9
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
19,28,46:43.6,13.82,0.446,157.46,01:34.9,14
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
20,28,46:43.8,13.973,0.153,157.452,01:34.7,9
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
21,28,46:50.7,20.879,6.906,157.065,01:34.8,9
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
DNF,21,33:50.2,DNF,-,163.066,01:34.8,9
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
,,,,,,,
