POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,37,00:13.6,-,-,161.445,01:32.2,24
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
2,37,00:15.8,2.152,2.152,161.349,01:32.6,37
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
3,37,00:18.3,4.716,2.564,161.235,01:32.8,19
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
4,37,00:19.7,6.052,1.336,161.175,01:32.8,32
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
5,37,00:25.1,11.505,5.453,160.933,01:32.2,27
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
6,37,00:35.7,22.099,10.594,160.464,01:32.2,29
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
7,37,00:36.2,22.572,0.473,160.443,01:31.2,30
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
8,37,00:36.7,23.08,0.508,160.421,01:32.3,22
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
9,37,00:37.3,23.627,0.547,160.397,01:32.6,20
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
10,37,00:37.9,24.279,0.652,160.368,01:32.8,27
3,,,,,,,
J. MartíCampos Racing,,,,,,,
11,37,00:40.0,26.401,2.122,160.274,01:32.0,32
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
12,37,00:44.7,31.075,4.674,160.069,01:33.4,20
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
13,37,00:45.6,31.951,0.876,160.03,01:32.7,20
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
14,37,00:47.4,33.752,1.801,159.951,01:33.1,23
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
15,37,00:47.9,34.26,0.508,159.929,01:33.0,21
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
16,37,00:52.2,38.558,4.298,159.741,01:32.5,28
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
17,37,00:53.5,39.86,1.302,159.684,01:32.8,22
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
18,37,00:56.2,42.525,2.665,159.567,01:31.6,37
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
19,37,00:59.8,46.194,3.669,159.407,01:33.2,24
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
DNF,16,28:32.2,DNF,-,147.299,01:33.7,14
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
DNF,8,13:47.9,DNF,-,152.225,01:35.7,5
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
DNF,5,08:22.0,DNF,-,156.809,01:36.8,4
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
,,,,,,,
