Pos.,Driver,Time
1,Rafael Câmara,01:56.3
2,Tasanapol Inthraphuvasak,01:56.3
3,Alexander Dunne,01:56.5
4,Nikola Tsolov,01:56.7
5,John Bennett,01:56.8
6,Dino Beganovic,01:56.8
7,Joshua Dürksen,01:56.8
8,Roman Bilinski,01:56.9
9,Martinius Stenshorne,01:56.9
10,Sebastian Montoya,01:56.9
11,Nico Varrone,01:57.0
12,Kush Maini,01:57.1
13,Oliver Goethe,01:57.1
14,Emerson Fittipaldi,01:57.3
15,Rafael Villagomez,01:57.3
16,Gabriele Mini,01:57.4
17,Colton Herta,01:57.5
18,Laurens van Hoepen,01:57.8
19,Cian Shields,01:58.1
20,Mari Boya,01:58.5
21,Ritomo Miyata,01:59.3
NC,Noel Leon,
