Pos.,Driver,Time,Points
1,Rafael Câmara,11:20.2,26
2,Tasanapol Inthraphuvasak,+5.458s,18
3,Nikola Tsolov,+7.463s,15
4,Alexander Dunne,+7.882s,12
5,Gabriele Mini,+8.179s,10
6,Rafael Villagomez,+10.972s,8
7,Colton Herta,+20.377s,6
8,Ritomo Miyata,+21.887s,4
9,Mari Boya,+23.657s,2
10,Martinius Stenshorne,+24.622s,1
11,Sebastian Montoya,+25.335s,0
12,Cian Shields,+31.803s,0
13,Nico Varrone,+35.631s,0
14,Joshua Dürksen,+42.458s,0
15,John Bennett,+50.247s,0
16,Kush Maini,+58.970s,0
NC,Roman Bilinski,DNF,0
NC,Emerson Fittipaldi,DNF,0
NC,Laurens van Hoepen,DNF,0
NC,Dino Beganovic,DNF,0
NC,Oliver Goethe,DNF,0
DQ,Noel Leon,DSQ,0
