Pos.,Driver,Time,Points
1,Joshua Dürksen,41:53.5,10
2,Martinius Stenshorne,+0.606s,9
3,Dino Beganovic,+1.273s,6
4,Nikola Tsolov,+1.798s,5
5,Alexander Dunne,+3.357s,4
6,Rafael Câmara,+4.054s,3
7,Roman Bilinski,+4.607s,2
8,Oliver Goethe,+5.173s,1
9,Sebastian Montoya,+5.867s,0
10,Laurens van Hoepen,+6.236s,0
11,Mari Boya,+6.688s,0
12,Tasanapol Inthraphuvasak,+7.141s,0
13,Colton Herta,+7.524s,0
14,Emerson Fittipaldi,+8.057s,0
15,Kush Maini,+8.222s,0
16,Rafael Villagomez,+8.812s,0
17,Ritomo Miyata,+19.066s,0
NC,Nico Varrone,+4 laps,0
NC,John Bennett,DNF,0
NC,Gabriele Mini,DNF,0
NC,Noel Leon,DNF,0
NC,Cian Shields,DNF,0
