POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,30,53:52.5,-,-,193.206,01:33.4,19
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
2,30,53:56.0,3.56,3.56,192.994,01:33.6,23
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
3,30,53:56.4,3.913,0.353,192.973,01:33.6,26
3,,,,,,,
J. MartíCampos Racing,,,,,,,
4,30,53:56.5,4.091,0.178,192.962,01:33.7,24
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
5,30,53:57.2,4.767,0.676,192.922,01:33.7,20
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
6,30,53:57.3,4.844,0.077,192.917,01:33.4,26
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
7,30,54:03.2,10.784,5.94,192.564,01:33.7,23
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
8,30,54:04.0,11.59,0.806,192.516,01:33.5,19
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
9,30,54:04.6,12.1,0.51,192.486,01:34.2,19
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
10,30,54:07.3,14.883,2.783,192.321,01:33.8,19
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
11,30,54:08.0,15.592,0.709,192.279,01:34.2,21
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
12,30,54:08.7,16.28,0.688,192.238,01:34.0,20
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
13,30,54:09.5,17.057,0.777,192.192,01:33.8,21
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
14,30,54:10.1,17.687,0.63,192.155,01:34.1,20
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
15,30,54:23.3,30.836,13.149,191.38,01:34.5,20
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
16,30,54:51.7,59.214,28.378,189.731,01:33.3,30
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
DNF,13,25:21.2,DNF,-,177.488,01:35.7,5
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,11,20:37.1,DNF,-,184.537,01:34.2,5
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
DNF,11,21:56.4,DNF,-,173.422,01:34.1,6
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
DNF,10,18:19.8,DNF,-,188.603,01:34.4,4
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
DNF,10,18:56.6,DNF,-,182.497,01:35.6,7
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
DNF,7,11:09.9,DNF,-,216.251,01:34.4,6
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
,,,,,,,
