POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,7,01:32.4,-,-,225.725,16:20:49
7,,,,,,
L. BrowningHitech TGR,,,,,,
2,7,01:32.7,0.318,0.318,224.951,16:20:45
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
3,7,01:32.8,0.364,0.046,224.839,16:21:07
2,,,,,,
R. StanekInvicta Racing,,,,,,
4,8,01:32.8,0.427,0.063,224.687,16:08:31
5,,,,,,
O. GoetheMP Motorsport,,,,,,
5,8,01:32.9,0.461,0.034,224.605,16:20:42
17,,,,,,
A. DunneRodin Motorsport,,,,,,
6,6,01:32.9,0.491,0.03,224.532,16:08:39
4,,,,,,
A. LindbladCampos Racing,,,,,,
7,6,01:33.0,0.573,0.082,224.334,16:08:45
20,,,,,,
J. DürksenAIX Racing,,,,,,
8,4,01:33.0,0.603,0.03,224.262,16:09:17
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
9,6,01:33.0,0.607,0.004,224.252,16:08:35
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
10,7,01:33.0,0.629,0.022,224.199,16:20:52
8,,,,,,
D. BeganovicHitech TGR,,,,,,
11,7,01:33.1,0.674,0.045,224.09,16:20:41
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
12,8,01:33.1,0.679,0.005,224.078,16:08:23
14,,,,,,
V. MartinsART Grand Prix,,,,,,
13,7,01:33.1,0.758,0.079,223.888,16:21:02
3,,,,,,
J. MartíCampos Racing,,,,,,
14,8,01:33.2,0.785,0.027,224.958,16:20:54
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
15,3,01:33.2,0.805,0.047,223.775,16:08:28
10,,,,,,
G. MinìPREMA Racing,,,,,,
16,7,01:33.2,0.856,0.051,223.653,16:20:56
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
17,7,01:33.6,1.168,0.312,222.907,16:08:38
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
18,8,01:33.6,1.182,0.014,222.874,16:08:26
15,,,,,,
R. MiyataART Grand Prix,,,,,,
19,3,01:33.6,1.203,0.021,222.824,16:08:49
21,,,,,,
C. ShieldsAIX Racing,,,,,,
20,8,01:33.7,1.277,0.074,222.648,16:08:14
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
9,8,01:45.5,13.083,5.521,197.726,16:07:01
S. MontoyaPREMA Racing,,,,,,
23,7,01:40.0,7.562,6.285,208.648,16:32:34
M. EstersonTRIDENT,,,,,,
,,,,,,
