POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,21,35:26.9,-,-,205.384,01:33.9,20
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
2,21,35:28.6,1.662,1.662,205.224,01:33.8,15
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
3,21,35:38.0,11.067,9.405,204.321,01:34.0,13
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
4,21,35:39.4,12.524,1.457,204.182,01:33.9,11
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
5,21,35:40.0,13.088,0.564,204.128,01:34.1,13
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
6,21,35:40.6,13.7,0.612,204.07,01:34.1,12
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
7,21,35:44.5,17.535,3.835,203.705,01:34.4,11
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
8,21,35:44.9,17.951,0.416,203.666,01:34.6,17
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
9,21,35:45.2,18.233,0.282,203.639,01:34.2,12
3,,,,,,,
J. MartíCampos Racing,,,,,,,
10,21,35:46.7,19.801,1.568,203.49,01:34.6,9
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
11,21,35:48.3,21.337,1.536,203.345,01:34.4,21
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
12,21,35:55.8,28.836,7.499,202.637,01:34.5,11
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
13,21,35:57.6,30.678,1.842,202.464,01:34.4,12
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
14,21,35:58.8,31.825,1.147,202.357,01:34.9,13
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
15,21,35:59.3,32.381,0.556,202.304,01:34.9,7
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
16,21,36:01.5,34.531,2.15,202.103,01:35.1,8
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
17,21,36:02.0,35.049,0.518,202.055,01:35.1,7
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
18,21,36:36.2,69.303,34.254,198.903,01:33.7,21
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
19,21,36:38.8,71.886,2.583,198.67,01:34.0,15
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
DNF,16,27:35.4,DNF,-,200.898,01:34.7,9
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
DNF,9,17:24.4,DNF,-,178.655,01:35.3,6
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,1,01:41.1,DNF,-,195.366,-,-
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
,,,,,,,
