Pos.,Driver,Time,Points
1,Noel Leon,58:36.0,25
2,Kush Maini,+0.887s,19
3,Rafael Câmara,+1.376s,15
4,Laurens van Hoepen,+4.994s,12
5,Tasanapol Inthraphuvasak,+9.416s,10
6,Dino Beganovic,+12.589s,8
7,Nikola Tsolov,+13.342s,6
8,Joshua Dürksen,+17.393s,4
9,Gabriele Mini,+19.098s,2
10,John Bennett,+23.927s,1
11,Alexander Dunne,+24.394s,0
12,Nico Varrone,+38.671s,0
13,Ritomo Miyata,+39.253s,0
14,Roman Bilinski,+39.449s,0
15,Mari Boya,+48.918s,0
16,Sebastian Montoya,+49.214s,0
17,Emerson Fittipaldi,+50.327s,0
18,Oliver Goethe,+50.876s,0
19,Colton Herta,+55.476s,0
20,Cian Shields,+59.976s,0
21,Martinius Stenshorne,+2 laps,0
NC,Rafael Villagomez,DNF,0
