Pos.,Driver,Time,Points
1,Gabriele Mini,44:19.2,11
2,Dino Beganovic,+3.787s,8
3,Laurens van Hoepen,+4.876s,6
4,Rafael Câmara,+7.021s,5
5,Kush Maini,+12.836s,4
6,Tasanapol Inthraphuvasak,+15.646s,3
7,Joshua Dürksen,+20.215s,2
8,Martinius Stenshorne,+20.830s,1
9,Noel Leon,+21.113s,0
10,John Bennett,+21.271s,0
11,Nico Varrone,+23.003s,0
12,Oliver Goethe,+24.410s,0
13,Ritomo Miyata,+24.907s,0
14,Colton Herta,+25.786s,0
15,Rafael Villagomez,+31.436s,0
16,Cian Shields,+33.756s,0
17,Mari Boya,+34.633s,0
18,Roman Bilinski,+38.808s,0
19,Alexander Dunne,+39.139s,0
20,Emerson Fittipaldi,+63.775s,0
NC,Nikola Tsolov,DNF,0
NC,Sebastian Montoya,DNF,0
