POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,35,55:50.7,-,-,184.365,01:30.8,9
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
2,35,55:57.3,6.592,6.592,184.003,01:30.7,4
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
3,35,55:58.3,7.599,1.007,183.948,01:30.7,3
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
4,35,55:59.5,8.808,1.209,183.882,01:30.7,3
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
5,35,56:02.8,12.125,3.317,183.701,01:30.8,3
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
6,35,56:03.9,13.178,1.053,183.643,01:30.8,3
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
7,35,56:05.2,14.481,1.303,183.572,01:30.7,10
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
8,35,56:06.2,15.499,1.018,183.517,01:31.0,3
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
9,35,56:06.9,16.197,0.698,183.479,01:31.4,9
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
10,35,56:16.9,26.193,9.996,182.935,01:31.2,12
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
11,35,56:24.7,33.959,7.766,182.516,01:31.7,11
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
12,35,56:27.9,37.167,3.208,182.343,01:30.4,4
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
13,35,56:33.9,43.179,6.012,182.02,01:30.4,32
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
14,35,56:34.7,43.955,0.776,181.978,01:29.3,35
3,,,,,,,
J. MartíCampos Racing,,,,,,,
15,35,56:38.1,47.345,3.39,181.797,01:29.7,32
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
16,35,56:40.0,49.311,1.966,181.692,01:30.6,28
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
17,35,56:44.1,53.347,4.036,181.476,01:31.1,35
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
18,35,56:46.4,55.656,2.309,181.353,01:29.1,32
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
19,35,56:50.3,59.555,3.899,181.146,01:30.3,32
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
20,35,56:55.0,64.312,4.757,180.893,01:30.1,32
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
21,35,57:15.7,84.943,20.631,179.807,01:31.3,31
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,13,20:56.8,DNF,-,182.177,01:31.2,12
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
,,,,,,,
