POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,9,01:27.4,-,-,202.159,16:26:56
8,,,,,,
D. BeganovicHitech TGR,,,,,,
2,9,01:27.4,0.003,0.003,202.152,16:26:47
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
3,9,01:27.4,0.006,0.003,202.145,16:13:27
14,,,,,,
V. MartinsART Grand Prix,,,,,,
4,10,01:27.7,0.284,0.278,201.505,16:16:10
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
5,9,01:27.8,0.388,0.104,201.266,16:13:30
17,,,,,,
A. DunneRodin Motorsport,,,,,,
6,9,01:27.8,0.397,0.009,201.245,16:12:37
4,,,,,,
A. LindbladCampos Racing,,,,,,
7,8,01:27.8,0.409,0.012,201.218,16:13:51
7,,,,,,
L. BrowningHitech TGR,,,,,,
8,9,01:28.0,0.532,0.123,200.936,16:26:46
5,,,,,,
O. GoetheMP Motorsport,,,,,,
9,8,01:28.0,0.625,0.093,200.724,16:13:19
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
10,9,01:28.1,0.69,0.065,200.576,16:13:34
15,,,,,,
R. MiyataART Grand Prix,,,,,,
11,9,01:28.2,0.802,0.112,200.321,16:12:43
3,,,,,,
J. MartíCampos Racing,,,,,,
12,10,01:28.2,0.819,0.017,200.283,16:16:14
2,,,,,,
R. StanekInvicta Racing,,,,,,
13,8,01:28.2,0.802,0.112,200.765,16:13:22
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
14,9,01:28.3,0.842,0.023,200.231,16:13:25
20,,,,,,
J. DürksenAIX Racing,,,,,,
15,9,01:28.3,0.886,0.044,200.131,16:27:00
10,,,,,,
G. MinìPREMA Racing,,,,,,
16,9,01:28.5,1.125,0.239,199.591,16:13:00
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
17,10,01:28.6,1.2,0.075,199.422,16:16:25
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
18,9,01:28.7,1.254,0.054,199.3,16:13:03
23,,,,,,
M. EstersonTRIDENT,,,,,,
19,9,01:28.7,1.262,0.008,199.282,16:26:51
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
20,9,01:28.8,1.412,0.15,198.946,16:13:39
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
21,10,01:28.9,1.458,0.046,198.843,16:16:20
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
22,10,01:29.5,2.116,0.658,197.382,16:16:38
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
