POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,25,38:06.8,-,-,192.858,01:30.7,5
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
2,25,38:07.9,1.101,1.101,192.766,01:30.6,5
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
3,25,38:14.4,7.594,6.493,192.22,01:30.2,7
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
4,25,38:15.5,8.7,1.106,192.127,01:30.6,7
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
5,25,38:15.8,8.936,0.236,192.108,01:30.8,6
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
6,25,38:23.2,16.353,7.417,191.489,01:30.6,5
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
7,25,38:23.8,16.98,0.627,191.437,01:30.8,7
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
8,25,38:24.2,17.349,0.369,191.406,01:30.8,7
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
9,25,38:31.0,24.195,6.846,190.839,01:30.8,8
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
10,25,38:33.3,26.506,2.311,190.649,01:30.9,8
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
11,25,38:34.2,27.354,0.848,190.579,01:30.8,7
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
12,25,38:34.3,27.517,0.163,190.565,01:30.8,7
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
13,25,38:34.9,28.043,0.526,190.522,01:31.0,5
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
14,25,38:35.7,28.93,0.887,190.449,01:31.4,10
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
15,25,38:36.1,29.24,0.31,190.424,01:30.5,4
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
16,25,38:40.0,33.214,3.974,190.508,01:31.3,8
3,,,,,,,
J. MartíCampos Racing,,,,,,,
17,25,38:42.6,35.832,2.618,189.883,01:31.1,6
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
18,25,38:53.3,46.459,10.627,189.018,01:31.4,4
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
19,25,38:53.6,46.766,0.307,188.993,01:31.3,8
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
20,25,39:00.0,53.219,6.453,188.472,01:31.1,5
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
21,25,39:22.5,75.704,22.485,186.678,01:30.4,8
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,22,34:09.1,DNF,-,189.355,01:31.3,11
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
,,,,,,,
