POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,14,01:36.1,-,-,202.969,19:38:41
5,,,,,,
O. GoetheMP Motorsport,,,,,,
2,14,01:36.2,0.04,0.04,202.884,19:38:38
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
3,14,01:36.3,0.17,0.13,202.61,19:38:58
14,,,,,,
V. MartinsART Grand Prix,,,,,,
4,14,01:36.3,0.23,0.06,202.484,19:38:55
2,,,,,,
R. StanekInvicta Racing,,,,,,
5,13,01:36.4,0.327,0.097,202.281,19:38:49
17,,,,,,
A. DunneRodin Motorsport,,,,,,
6,13,01:36.7,0.626,0.299,201.655,19:38:35
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
7,14,01:36.8,0.649,0.023,201.608,19:38:30
3,,,,,,
N. TsolovCampos Racing,,,,,,
8,13,01:36.8,0.651,0.002,201.603,19:38:27
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
9,14,01:36.8,0.658,0.007,201.589,19:39:46
20,,,,,,
J. DürksenAIX Racing,,,,,,
10,14,01:36.8,0.678,0.02,201.547,19:37:46
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
11,14,01:36.8,0.711,0.033,201.478,19:33:53
8,,,,,,
D. BeganovicHitech TGR,,,,,,
12,13,01:36.9,0.772,0.061,201.352,19:38:53
16,,,,,,
M. StenshorneRodin Motorsport,,,,,,
13,13,01:37.0,0.919,0.147,201.047,19:34:35
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
14,13,01:37.0,0.924,0.005,201.036,19:38:45
10,,,,,,
G. MinìPREMA Racing,,,,,,
15,13,01:37.2,1.057,0.133,200.761,19:34:00
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
16,14,01:37.2,1.079,0.022,200.716,19:39:02
15,,,,,,
R. MiyataART Grand Prix,,,,,,
17,14,01:37.3,1.202,0.123,200.462,19:34:29
4,,,,,,
A. LindbladCampos Racing,,,,,,
18,14,01:37.3,1.219,0.017,200.427,19:37:33
7,,,,,,
L. BrowningHitech TGR,,,,,,
19,14,01:38.1,1.983,0.764,198.866,19:35:48
21,,,,,,
C. ShieldsAIX Racing,,,,,,
20,13,01:38.2,2.088,0.105,198.653,19:20:31
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
21,7,01:38.9,2.782,0.694,197.259,19:38:12
23,,,,,,
J. WhartonTRIDENT,,,,,,
22,14,01:39.0,2.918,0.136,196.988,19:41:35
22,,,,,,
L. van HoepenTRIDENT,,,,,,
,,,,,,
