POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,32,55:18.5,-,-,187.825,01:40.2,30
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
2,32,55:19.7,1.265,1.265,187.753,01:40.2,31
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
3,32,55:25.9,7.439,6.174,187.405,01:39.8,32
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
4,32,55:27.2,8.703,1.264,187.333,01:40.7,30
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
5,32,55:28.6,10.105,1.402,187.255,01:40.6,13
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
6,32,55:30.8,12.362,2.257,187.128,01:40.2,21
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
7,32,55:34.4,15.959,3.597,186.926,01:40.3,19
3,,,,,,,
N. TsolovCampos Racing,,,,,,,
8,32,55:36.4,17.979,2.02,186.813,01:40.1,29
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
9,32,55:36.9,18.487,0.508,186.784,01:38.5,29
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
10,32,55:42.0,23.535,5.048,186.502,01:38.8,32
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
11,32,55:46.6,28.151,4.616,186.245,01:40.5,31
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
12,32,55:51.1,32.691,4.54,185.992,01:41.0,27
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
13,32,55:51.7,33.196,0.505,185.964,01:40.5,26
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
14,32,55:54.3,35.889,2.693,185.815,01:41.2,27
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
15,32,55:55.5,37.092,1.203,185.749,01:40.4,32
16,,,,,,,
M. StenshorneRodin Motorsport,,,,,,,
16,32,55:56.2,37.748,0.656,185.712,01:40.6,17
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
17,32,56:00.0,41.585,3.837,185.5,01:39.9,31
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
18,32,56:01.2,42.714,1.129,185.438,01:39.9,30
22,,,,,,,
L. van HoepenTRIDENT,,,,,,,
19,32,56:12.8,54.32,11.606,184.8,01:40.8,29
23,,,,,,,
J. WhartonTRIDENT,,,,,,,
20,32,56:55.8,97.336,43.016,182.472,01:41.4,17
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
DNF,13,22:56.1,DNF,-,183.584,01:40.8,11
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
DNF,6,10:40.6,DNF,-,181.204,01:43.6,3
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
,,,,,,,
