POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,23,42:36.5,-,-,175.129,01:39.6,19
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
2,23,42:37.5,0.97,0.97,175.062,01:40.5,18
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
3,23,42:38.1,1.607,0.637,175.018,01:40.4,19
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
4,23,42:38.6,2.12,0.513,174.983,01:40.4,19
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
5,23,42:38.8,2.347,0.227,174.968,01:40.3,19
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
6,23,42:39.4,2.88,0.533,174.931,01:40.3,19
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
7,23,42:40.4,3.933,1.053,174.86,01:40.8,19
16,,,,,,,
M. StenshorneRodin Motorsport,,,,,,,
8,23,42:40.7,4.265,0.332,174.837,01:40.9,13
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
9,23,42:41.0,4.548,0.283,174.818,01:41.0,13
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
10,23,42:43.0,6.49,1.942,174.685,01:40.8,19
3,,,,,,,
N. TsolovCampos Racing,,,,,,,
11,23,42:43.2,6.737,0.247,174.668,01:41.1,19
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
12,23,42:43.5,7.03,0.293,174.648,01:41.3,13
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
13,23,42:43.9,7.399,0.369,174.623,01:41.2,10
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
14,23,42:44.2,7.728,0.329,174.601,01:41.0,11
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
15,23,42:44.8,8.312,0.584,174.561,01:41.8,19
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
16,23,42:45.4,8.948,0.636,174.518,01:41.9,7
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
17,23,42:46.4,9.959,1.011,174.449,01:41.1,13
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
18,23,42:46.5,10.068,0.109,174.442,01:41.3,11
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
19,23,42:56.6,20.164,10.096,173.758,01:41.8,19
22,,,,,,,
L. van HoepenTRIDENT,,,,,,,
DNF,19,34:16.2,DNF,-,179.786,01:41.5,18
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
DNF,14,24:20.3,DNF,-,186.357,01:41.4,11
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,13,22:25.5,DNF,-,187.76,01:41.8,12
23,,,,,,,
J. WhartonTRIDENT,,,,,,,
,,,,,,,
