POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,21,40:51.6,-,-,181.462,01:48.8,2
11,,,,,,,
M. GładyszART Grand Prix,,,,,,,
2,21,40:52.5,0.908,0.908,181.394,01:49.9,2
5,,,,,,,
F. SlaterTRIDENT,,,,,,,
3,21,40:52.8,1.16,0.252,181.376,01:49.4,4
2,,,,,,,
U. UgochukwuCampos Racing,,,,,,,
4,21,40:54.5,2.858,1.698,181.25,01:49.5,2
20,,,,,,,
L. SharpPREMA Racing,,,,,,,
5,21,40:54.9,3.269,0.411,181.22,01:49.2,3
4,,,,,,,
N. StrømstedTRIDENT,,,,,,,
6,21,40:55.1,3.426,0.157,181.208,01:49.6,4
12,,,,,,,
K. LeART Grand Prix,,,,,,,
7,21,40:55.6,3.995,0.569,181.166,01:49.6,4
27,,,,,,,
Y. DavidAIX Racing,,,,,,,
8,21,40:55.9,4.251,0.256,181.148,01:49.7,4
14,,,,,,,
H. YamakoshiVan Amersfoort Racing,,,,,,,
9,21,40:56.3,4.629,0.378,181.12,01:49.8,4
17,,,,,,,
P. ClerotRodin Motorsport,,,,,,,
10,21,40:56.5,4.871,0.242,181.471,01:48.8,2
3,,,,,,,
E. RiveraCampos Racing,,,,,,,
11,21,40:57.1,0.571,0.442,181.429,01:49.5,4
21,,,,,,,
J. WhartonPREMA Racing,,,,,,,
12,21,40:57.3,5.642,0.2,181.045,01:49.8,4
8,,,,,,,
T. TaponenMP Motorsport,,,,,,,
13,21,41:00.3,8.723,3.081,181.187,01:49.6,4
9,,,,,,,
A. GiustiMP Motorsport,,,,,,,
14,21,41:01.3,"9,668",0.945,180.749,01:49.4,2
1,,,,,,,
T. NaëlCampos Racing,,,,,,,
15,21,41:02.0,10.395,0.727,180.696,01:49.8,2
25,,,,,,,
J. NakamuraHitech TGR,,,,,,,
16,21,41:02.2,10.561,0.166,180.683,01:50.0,5
15,,,,,,,
E. DelignyVan Amersfoort Racing,,,,,,,
17,21,41:02.4,10.759,0.198,180.669,01:49.8,5
18,,,,,,,
B. BadoerRodin Motorsport,,,,,,,
18,21,41:02.7,11.039,0.28,180.648,01:49.6,4
16,,,,,,,
B. Del PinoVan Amersfoort Racing,,,,,,,
19,21,41:02.8,11.214,0.175,180.635,01:49.2,2
24,,,,,,,
F. McLaughlinHitech TGR,,,,,,,
20,21,41:03.4,11.759,0.545,180.595,01:50.0,5
7,,,,,,,
M. ColnaghiMP Motorsport,,,,,,,
21,21,41:03.7,12.096,0.337,180.571,01:50.0,5
22,,,,,,,
J. GarfiasPREMA Racing,,,,,,,
22,21,41:09.9,18.268,6.172,180.12,01:49.8,5
31,,,,,,,
G. XieDAMS Lucas Oil,,,,,,,
23,21,41:10.3,18.655,0.387,180.091,01:49.4,7
23,,,,,,,
W. ShinHitech TGR,,,,,,,
24,21,41:12.0,25.392,6.737,179.965,01:50.1,5
30,,,,,,,
N. BhirombhakdiDAMS Lucas Oil,,,,,,,
25,21,41:28.0,36.358,10.966,178.81,01:49.9,4
10,,,,,,,
T. KatoART Grand Prix,,,,,,,
26,21,41:36.5,44.849,8.491,178.202,01:49.8,7
19,,,,,,,
C. HoRodin Motorsport,,,,,,,
DNF,20,39:06.3,DNF,-,180.572,01:49.8,4
28,,,,,,,
F. BarrichelloAIX Racing,,,,,,,
DNF,17,31:43.3,DNF,-,189.172,01:49.9,5
26,,,,,,,
R. EscottoAIX Racing,,,,,,,
DNF,6,12:22.1,DNF,-,170.826,01:49.9,4
29,,,,,,,
N. LacorteDAMS Lucas Oil,,,,,,,
,,,,,,,
