POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,11,01:45.6,-,-,200.791,14:30:17
5,,,,,,
F. SlaterTRIDENT,,,,,,
2,11,01:45.9,0.26,0.26,200.298,14:30:14
1,,,,,,
T. NaëlCampos Racing,,,,,,
3,11,01:45.9,0.261,0.001,200.296,14:30:24
20,,,,,,
L. SharpPREMA Racing,,,,,,
4,11,01:45.9,0.286,0.025,200.249,14:31:21
3,,,,,,
E. RiveraCampos Racing,,,,,,
5,11,01:45.9,0.311,0.025,200.202,14:30:21
6,,,,,,
M. De PaloTRIDENT,,,,,,
6,11,01:45.9,0.313,0.002,200.198,14:30:30
24,,,,,,
F. McLaughlinHitech TGR,,,,,,
7,11,01:46.0,0.337,0.024,200.152,14:30:28
4,,,,,,
N. StrømstedTRIDENT,,,,,,
8,11,01:46.0,0.376,0.039,200.079,14:30:49
11,,,,,,
M. GładyszART Grand Prix,,,,,,
9,11,01:46.0,0.395,0.019,200.043,14:30:26
21,,,,,,
J. WhartonPREMA Racing,,,,,,
10,11,01:46.1,0.469,0.074,199.903,14:31:27
9,,,,,,
A. GiustiMP Motorsport,,,,,,
11,11,01:46.2,0.595,0.126,199.666,14:31:10
27,,,,,,
Y. DavidAIX Racing,,,,,,
12,11,01:46.2,0.598,0.003,199.661,14:30:58
2,,,,,,
U. UgochukwuCampos Racing,,,,,,
13,11,01:46.3,0.664,0.066,199.537,14:31:08
12,,,,,,
K. LeART Grand Prix,,,,,,
14,11,01:46.3,0.681,0.017,199.505,14:31:06
7,,,,,,
M. ColnaghiMP Motorsport,,,,,,
15,11,01:46.3,0.688,0.007,199.492,14:30:52
25,,,,,,
J. NakamuraHitech TGR,,,,,,
16,11,01:46.4,0.761,0.073,199.355,14:19:24
10,,,,,,
T. KatoART Grand Prix,,,,,,
17,11,01:46.4,0.781,0.02,199.317,14:30:12
16,,,,,,
B. Del PinoVan Amersfoort Racing,,,,,,
18,12,01:46.5,0.867,0.086,199.156,14:31:26
14,,,,,,
H. YamakoshiVan Amersfoort Racing,,,,,,
19,11,01:46.5,0.87,0.003,199.151,14:30:47
22,,,,,,
J. GarfiasPREMA Racing,,,,,,
20,12,01:46.5,0.897,0.027,199.1,14:19:45
8,,,,,,
T. TaponenMP Motorsport,,,,,,
21,11,01:46.6,1.024,0.127,198.863,14:18:43
17,,,,,,
P. ClerotRodin Motorsport,,,,,,
22,11,01:46.7,1.04,0.016,198.833,14:20:05
18,,,,,,
B. BadoerRodin Motorsport,,,,,,
23,12,01:46.7,1.076,0.036,198.766,14:19:37
31,,,,,,
G. XieDAMS Lucas Oil,,,,,,
24,11,01:46.7,1.114,0.038,198.695,14:30:40
15,,,,,,
E. DelignyVan Amersfoort Racing,,,,,,
25,12,01:46.8,1.187,0.073,198.56,14:30:33
29,,,,,,
N. LacorteDAMS Lucas Oil,,,,,,
26,11,01:46.9,1.273,0.086,198.4,14:30:55
19,,,,,,
C. HoRodin Motorsport,,,,,,
27,12,01:46.9,1.323,0.05,198.307,14:31:03
30,,,,,,
N. BhirombhakdiDAMS Lucas Oil,,,,,,
28,12,01:47.0,1.35,0.027,198.257,14:30:04
23,,,,,,
W. ShinHitech TGR,,,,,,
29,11,01:47.2,1.59,0.24,197.813,14:30:35
28,,,,,,
F. BarrichelloAIX Racing,,,,,,
30,11,01:48.3,2.656,1.066,195.866,14:19:42
26,,,,,,
R. EscottoAIX Racing,,,,,,
,,,,,,
