Pos.,Driver,Time
1,Tuukka Taponen,01:33.4
2,Freddie Slater,01:33.5
3,Mattia Colnaghi,01:33.5
4,Nicola Lacorte,01:33.5
5,Brando Badoer,01:33.5
6,Ugo Ugochukwu,01:33.5
7,Théophile Naël,01:33.5
8,Ernesto Rivera,01:33.6
9,Jin Nakamura,01:33.6
10,Gerrard Xie,01:33.7
11,Maciej Gladysz,01:33.7
12,Kanato Le,01:33.7
13,Alessandro Giusti,01:33.7
14,Christian Ho,01:33.8
15,James Wharton,01:33.8
16,Yevan David,01:33.8
17,Fernando Barrichello,01:33.9
18,Taito Kato,01:33.9
19,Louis Sharp,01:33.9
20,Fionn Mclaughlin,01:34.0
21,Enzo Deligny,01:34.0
22,Jose Garfias,01:34.0
23,Noah Stromsted,01:34.0
24,Bruno Del Pino,01:34.0
25,Woohyun Shin,01:34.0
26,Nandhavud Bhirombhakdi,01:34.1
27,Pedro Clerot,01:34.1
28,Salim Hanna,01:34.2
29,Matteo De Palo,01:34.5
DQ,Hiyu Yamakoshi,DSQ
