Pos.,Driver,Time,Points
1,Théophile Naël,32:33.3,10
2,Kanato Le,+2.715s,9
3,Ernesto Rivera,+3.839s,8
4,Mattia Colnaghi,+4.126s,7
5,Brando Badoer,+6.198s,6
6,Tuukka Taponen,+8.030s,6
7,Nicola Lacorte,+13.283s,4
8,James Wharton,+15.298s,3
9,Fernando Barrichello,+15.690s,2
10,Freddie Slater,+17.164s,1
11,Yevan David,+18.802s,0
12,Louis Sharp,+19.375s,0
13,Alessandro Giusti,+19.760s,0
14,Taito Kato,+20.238s,0
15,Jose Garfias,+20.551s,0
16,Enzo Deligny,+20.899s,0
17,Ugo Ugochukwu,+21.385s,0
18,Bruno Del Pino,+21.572s,0
19,Fionn Mclaughlin,+22.014s,0
20,Noah Stromsted,+22.277s,0
21,Pedro Clerot,+22.717s,0
22,Christian Ho,+23.198s,0
23,Woohyun Shin,+23.810s,0
24,Salim Hanna,+24.570s,0
25,Nandhavud Bhirombhakdi,+24.870s,0
26,Hiyu Yamakoshi,+25.430s,0
27,Matteo De Palo,+30.982s,0
28,Gerrard Xie,+37.156s,0
NC,Maciej Gladysz,DNF,0
NC,Jin Nakamura,DNF,0
