POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,9,01:54.8,-,-,188.262,14:28:55
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
2,10,01:54.8,0.019,0.019,188.23,14:32:40
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
3,9,01:55.2,0.399,0.38,187.61,14:28:53
10,,,,,,
G. MinìPREMA Racing,,,,,,
4,9,01:55.6,0.778,0.174,186.994,14:28:11
17,,,,,,
A. DunneRodin Motorsport,,,,,,
5,9,01:55.6,0.778,0,186.994,14:28:16
7,,,,,,
L. BrowningHitech TGR,,,,,,
6,10,01:55.6,0.785,0.007,186.983,14:32:38
3,,,,,,
J. MartíCampos Racing,,,,,,
7,9,01:55.8,1.018,0.171,186.607,14:28:40
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
8,9,01:55.6,0.847,0.062,186.883,14:29:24
23,,,,,,
M. StenshorneTRIDENT,,,,,,
9,9,01:55.9,1.128,0.11,186.43,14:28:14
8,,,,,,
D. BeganovicHitech TGR,,,,,,
10,10,01:55.9,1.141,0.013,186.409,14:32:58
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
11,9,01:56.0,1.192,0.051,186.327,14:28:30
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
12,9,01:56.0,1.194,0.002,186.324,14:28:45
2,,,,,,
R. StanekInvicta Racing,,,,,,
13,8,01:56.2,1.387,0.193,186.014,14:28:38
14,,,,,,
V. MartinsART Grand Prix,,,,,,
14,10,01:56.2,1.4,0.013,185.993,14:28:19
20,,,,,,
J. DürksenAIX Racing,,,,,,
15,10,01:56.4,1.563,0.163,185.733,14:28:48
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
16,9,01:56.5,1.699,0.136,185.516,14:12:46
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
17,9,01:56.6,1.836,0.137,185.298,14:28:33
4,,,,,,
A. LindbladCampos Racing,,,,,,
18,9,01:56.7,1.895,0.059,185.204,14:28:28
5,,,,,,
O. GoetheMP Motorsport,,,,,,
19,9,01:57.2,2.375,0.48,184.445,14:12:43
15,,,,,,
R. MiyataART Grand Prix,,,,,,
20,9,01:57.3,2.513,0.138,184.229,14:29:22
22,,,,,,
L. van HoepenTRIDENT,,,,,,
21,10,01:57.7,2.859,0.346,183.687,14:28:45
21,,,,,,
C. ShieldsAIX Racing,,,,,,
NC,2,02:38.8,44,41.141,136.095,14:10:56
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
,,,,,,
