POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,29,00:40.6,-,-,172.044,01:57.4,14
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
2,29,00:40.8,0.216,0.216,172.034,01:56.8,11
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
3,29,00:45.9,5.371,5.155,171.791,01:57.0,14
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
4,29,00:51.4,10.811,5.44,171.535,01:57.5,14
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
5,29,00:52.3,11.703,0.892,171.493,01:57.2,11
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
6,29,00:54.5,13.97,2.267,171.386,01:57.6,12
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
7,29,00:57.7,17.175,3.205,171.236,01:57.8,10
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
8,29,01:00.6,20.014,2.839,171.103,01:57.5,10
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
9,29,01:01.5,20.95,0.936,171.06,01:57.9,12
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
10,29,01:01.9,21.351,0.401,171.041,01:58.0,12
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
11,29,01:03.7,23.145,1.794,171.425,01:57.3,11
3,,,,,,,
J. MartíCampos Racing,,,,,,,
12,29,01:03.7,23.165,0.02,170.956,01:57.6,15
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
13,29,01:06.6,26.015,2.85,170.823,01:57.8,12
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
14,29,01:09.2,28.637,2.622,170.701,01:58.4,11
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
15,29,01:13.5,32.951,4.314,170.501,01:57.6,13
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
16,29,01:33.0,52.403,19.452,169.603,01:59.0,11
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
17,29,01:44.8,64.205,11.802,169.062,01:57.5,29
22,,,,,,,
L. van HoepenTRIDENT,,,,,,,
18,29,02:14.9,94.378,30.173,168.147,01:57.5,29
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
19,28,01:54.5,1 LAP,1 LAP,162.799,01:56.9,12
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
DNF,27,57:41.4,DNF,-,168.462,01:58.0,11
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,24,51:23.9,DNF,-,168.062,01:57.3,11
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
DNF,4,08:07.5,DNF,-,176.534,01:59.0,4
23,,,,,,,
M. StenshorneTRIDENT,,,,,,,
,,,,,,,
