POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,21,48:46.8,-,-,154.93,01:56.6,15
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
2,21,48:53.1,6.281,6.281,154.598,01:56.7,17
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
3,21,48:54.1,7.309,1.028,154.544,01:56.7,20
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
4,21,48:54.5,7.702,0.393,154.523,01:56.6,20
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
5,21,48:58.3,11.513,3.811,154.323,01:57.0,17
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
6,21,48:59.2,12.39,0.877,154.277,01:57.0,17
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
7,21,48:59.3,12.468,0.078,154.273,01:56.9,16
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
8,21,48:59.5,12.704,0.236,154.261,01:57.0,17
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
9,21,49:00.1,13.339,0.635,154.227,01:57.1,18
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
10,21,49:00.6,13.818,0.479,154.202,01:57.0,8
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
11,21,49:01.1,14.334,0.516,154.175,01:57.3,16
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
12,21,49:02.2,15.362,1.028,154.121,01:56.9,18
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
13,21,49:04.8,17.979,2.617,153.984,01:57.4,16
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
14,21,49:19.0,32.174,14.195,153.245,01:59.0,16
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
15,21,49:27.3,40.505,8.331,152.815,01:57.4,8
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
16,21,49:47.9,61.111,20.606,151.761,01:57.3,16
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
17,21,50:06.7,79.844,18.733,150.816,01:57.5,20
22,,,,,,,
L. van HoepenTRIDENT,,,,,,,
DNF,7,18:14.9,DNF,-,137.822,01:57.8,6
23,,,,,,,
M. StenshorneTRIDENT,,,,,,,
DNF,5,14:59.5,DNF,-,119.704,03:04.2,4
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,1,03:55.6,DNF,-,90.13,-,-
3,,,,,,,
J. MartíCampos Racing,,,,,,,
DNF,-,-,DNF,-,-,-,-
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
DNF,-,-,DNF,-,-,-,-
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
,,,,,,,
