POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,37,58:49.2,-,-,175.637,01:30.3,4
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
2,37,58:49.5,0.301,0.301,175.622,01:30.6,2
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
3,37,58:49.8,0.602,0.301,175.607,01:30.7,4
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
4,37,58:50.1,0.927,0.325,175.591,01:29.8,24
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
5,37,58:50.3,1.155,0.228,175.58,01:29.2,27
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
6,37,58:50.8,1.573,0.418,175.559,01:31.2,4
3,,,,,,,
J. MartíCampos Racing,,,,,,,
7,37,58:51.5,2.344,0.771,175.521,01:30.7,16
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
8,37,58:51.8,2.605,0.261,175.508,01:30.7,19
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
9,37,58:52.1,2.884,0.279,175.494,01:30.8,18
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
10,37,58:52.2,2.988,0.104,175.489,01:30.5,25
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
11,37,58:52.8,3.629,0.641,175.457,01:30.7,4
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
12,37,58:54.3,5.136,1.507,175.382,01:31.5,9
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
13,37,58:54.7,5.47,0.334,175.365,01:31.4,11
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
14,37,59:00.9,11.754,6.284,175.054,01:31.7,13
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
15,37,59:01.2,11.969,0.215,175.043,01:32.1,14
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
16,37,59:03.0,13.828,1.859,174.952,01:29.4,25
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
17,37,59:04.0,14.762,0.934,174.906,01:30.9,8
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
18,37,59:04.4,15.212,0.45,174.883,01:31.5,14
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
19,37,59:06.8,17.618,2.406,174.765,01:30.0,29
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
20,37,59:38.0,48.779,31.161,173.243,01:31.1,5
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
DNF,33,52:08.2,DNF,-,176.712,01:32.0,8
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
DNF,25,39:17.4,DNF,-,177.599,01:32.6,4
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
,,,,,,,
