POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,9,01:25.2,-,-,196.82,16:24:01
4,,,,,,
A. LindbladCampos Racing,,,,,,
2,9,01:25.4,0.245,0.245,196.256,16:23:52
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
3,8,01:25.5,0.33,0.085,196.061,16:23:05
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
4,9,01:25.5,0.339,0.009,196.04,16:23:44
2,,,,,,
R. StanekInvicta Racing,,,,,,
5,8,01:25.6,0.432,0.093,195.827,16:22:38
17,,,,,,
A. DunneRodin Motorsport,,,,,,
6,7,01:25.7,0.478,0.046,195.722,16:23:58
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
7,8,01:25.7,0.548,0.07,195.562,16:23:01
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
8,7,01:25.7,0.562,0.014,195.53,16:22:56
7,,,,,,
L. BrowningHitech TGR,,,,,,
9,10,01:25.8,0.57,0.008,195.512,16:23:25
20,,,,,,
J. DürksenAIX Racing,,,,,,
10,10,01:25.8,0.575,0.005,195.501,16:01:30
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
11,8,01:25.8,0.59,0.015,195.466,16:23:41
3,,,,,,
J. MartíCampos Racing,,,,,,
12,8,01:25.8,0.605,0.015,195.432,16:23:12
8,,,,,,
D. BeganovicHitech TGR,,,,,,
13,8,01:25.8,0.63,0.025,195.375,16:23:03
5,,,,,,
O. GoetheMP Motorsport,,,,,,
14,9,01:25.8,0.636,0.006,195.362,16:09:14
15,,,,,,
R. MiyataART Grand Prix,,,,,,
15,9,01:25.9,0.68,0.044,195.262,16:22:37
14,,,,,,
V. MartinsART Grand Prix,,,,,,
16,9,01:25.9,0.702,0.022,195.212,16:22:51
23,,,,,,
M. EstersonTRIDENT,,,,,,
17,7,01:26.0,0.802,0.1,194.984,16:23:19
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
18,9,01:26.2,1.02,0.218,194.491,16:09:43
10,,,,,,
G. MinìPREMA Racing,,,,,,
19,9,01:26.3,1.08,0.06,194.356,16:22:46
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
20,10,01:26.3,1.146,0.066,194.208,16:23:23
21,,,,,,
C. ShieldsAIX Racing,,,,,,
21,9,01:26.4,1.181,0.035,194.129,16:23:31
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
22,8,01:26.9,1.716,0.535,192.934,16:01:06
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
,,,,,,
