POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,26,42:00.3,-,-,172.774,01:29.6,24
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
2,26,42:00.7,0.38,0.38,172.748,01:29.5,25
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
3,26,42:08.6,8.334,7.954,172.205,01:31.0,24
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
4,26,42:11.8,11.473,3.139,171.991,01:32.1,12
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
5,26,42:12.8,12.504,1.031,171.921,01:30.8,25
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
6,26,42:13.7,13.365,0.861,171.863,01:32.4,7
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
7,26,42:14.4,14.071,0.706,171.815,01:32.4,11
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
8,26,42:14.6,14.325,0.254,171.798,01:30.7,26
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
9,26,42:16.8,16.494,2.169,171.651,01:32.2,22
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
10,26,42:16.9,16.61,0.116,171.643,01:31.6,25
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
11,26,42:16.9,16.619,0.009,171.642,01:31.1,25
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
12,26,42:19.8,19.516,2.897,171.446,01:32.6,26
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
13,26,42:20.5,20.245,0.729,171.397,01:32.5,8
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
14,26,42:21.6,21.358,1.113,171.322,01:32.4,9
3,,,,,,,
J. MartíCampos Racing,,,,,,,
15,26,42:23.3,23.006,1.648,171.211,01:32.4,9
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
16,26,42:24.1,23.818,0.812,171.157,01:32.3,8
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
17,26,42:24.4,24.161,0.343,171.133,01:32.5,9
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
18,26,42:25.1,24.763,0.602,171.093,01:32.7,5
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
19,25,42:27.4,1 LAP,1 LAP,164.354,01:32.6,5
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
20,22,42:25.8,4 LAPS,3 LAPS,144.698,01:30.2,19
J. DürksenAIX Racing,,,,,,,
DNF,17,26:32.3,DNF,-,178.709,01:32.6,10
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
DNF,1,01:58.1,DNF,-,138.08,-,-
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
,,,,,,,
