POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,18,41:49.2,-,-,180.698,02:00.9,15
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
2,18,41:49.8,0.601,0.601,180.655,02:01.2,15
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
3,18,41:50.5,1.271,0.67,180.607,02:01.6,16
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
4,18,41:51.6,2.408,1.137,180.525,02:01.5,7
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
5,18,41:52.0,2.804,0.396,180.496,02:01.8,16
3,,,,,,,
J. MartíCampos Racing,,,,,,,
6,18,41:53.6,4.405,1.601,180.381,02:01.5,16
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
7,18,41:54.1,4.883,0.478,180.347,02:01.5,15
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
8,18,41:54.9,5.647,0.764,180.292,02:01.7,15
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
9,18,41:56.0,6.734,0.257,180.214,02:01.0,16
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
10,18,41:56.9,7.663,0.929,180.148,02:01.6,14
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
11,18,41:57.3,8.053,0.39,180.12,02:02.4,6
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
12,18,41:57.6,8.423,0.37,179.737,02:01.8,14
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
13,18,41:58.2,8.933,0.88,180.057,02:02.6,10
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
14,18,41:58.6,9.387,0.454,180.025,02:01.3,14
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
15,18,41:59.2,9.939,0.552,179.985,02:01.3,14
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
16,18,42:00.3,11.052,1.113,179.906,02:00.8,15
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
17,18,42:00.7,11.477,0.425,180.233,02:00.7,15
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
DNF,16,36:28.4,DNF,-,184.148,02:01.5,15
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,15,42:48.1,3 LAPS,-,147.099,02:01.3,12
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,11,24:50.5,DNF,-,185.784,02:01.7,6
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
DNF,1,03:36.7,DNF,-,114.302,-,-
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
DNF,-,-,DNF,-,-,-,-
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
