POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,11,01:57.2,-,-,215.229,15:27:37
17,,,,,,
A. DunneRodin Motorsport,,,,,,
2,10,01:57.6,0.419,0.419,214.462,15:27:48
15,,,,,,
R. MiyataART Grand Prix,,,,,,
3,10,01:57.6,0.425,0.006,214.451,15:28:04
2,,,,,,
R. StanekInvicta Racing,,,,,,
4,11,01:57.6,0.437,0.012,214.43,15:27:43
14,,,,,,
V. MartinsART Grand Prix,,,,,,
5,10,01:57.7,0.523,0.086,214.273,15:27:46
4,,,,,,
A. LindbladCampos Racing,,,,,,
6,10,01:57.7,0.548,0.025,214.227,15:27:51
3,,,,,,
J. MartíCampos Racing,,,,,,
7,10,01:57.7,0.561,0.013,214.204,15:28:00
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
8,10,01:57.8,0.634,0.073,214.071,15:27:58
10,,,,,,
G. MinìPREMA Racing,,,,,,
9,11,01:57.9,0.716,0.082,213.922,15:27:41
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
10,11,01:57.9,0.742,0.026,213.875,15:31:42
5,,,,,,
O. GoetheMP Motorsport,,,,,,
11,11,01:58.0,0.845,0.103,213.688,15:27:37
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
12,10,01:58.0,0.891,0.046,213.605,15:27:24
7,,,,,,
L. BrowningHitech TGR,,,,,,
13,10,01:58.2,1.017,0.126,213.377,15:27:34
8,,,,,,
D. BeganovicHitech TGR,,,,,,
14,11,01:58.2,1.051,0.034,213.316,15:27:16
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
15,10,01:58.3,1.195,0.144,213.056,15:30:44
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
16,10,01:58.4,1.203,0.008,213.042,15:28:02
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
17,11,01:58.5,1.319,0.116,212.833,15:27:18
23,,,,,,
M. EstersonTRIDENT,,,,,,
18,10,01:58.5,1.376,0.057,212.731,15:27:26
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
19,11,01:58.6,1.416,0.04,212.659,15:27:28
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
20,11,01:58.6,1.452,0.036,212.594,15:27:30
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
21,11,01:58.7,1.524,0.072,212.465,15:27:32
20,,,,,,
J. DürksenAIX Racing,,,,,,
22,11,01:59.5,2.362,0.838,210.976,15:31:46
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
