POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,19,46:15.3,-,-,172.461,02:20.1,2
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
2,19,46:17.1,1.79,1.79,172.35,02:20.2,2
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
3,19,46:17.7,2.413,0.623,172.311,02:18.4,14
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
4,19,46:18.3,3.058,0.645,172.271,02:18.7,13
3,,,,,,,
J. MartíCampos Racing,,,,,,,
5,19,46:18.9,3.651,0.593,172.234,02:18.5,12
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
6,19,46:19.6,4.352,0.701,172.191,02:18.7,12
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
7,19,46:20.5,5.198,0.846,172.138,02:17.9,12
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
8,19,46:23.0,7.717,2.519,171.983,02:17.9,13
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
9,19,46:23.8,8.547,0.83,172.551,02:19.7,2
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
10,19,46:24.0,8.717,0.17,171.921,02:18.3,15
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
11,19,46:24.7,9.457,0.74,171.875,02:18.7,15
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
12,19,46:25.8,10.513,1.056,171.81,02:18.2,13
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
13,19,46:26.8,11.546,1.033,171.746,02:20.3,16
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
14,19,46:27.4,12.143,0.597,171.709,02:18.0,14
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
15,19,46:32.0,16.72,4.577,171.428,02:19.6,8
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
16,19,46:49.2,33.906,17.186,170.379,02:19.2,14
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
17,19,46:52.2,36.9,2.994,170.198,02:19.5,14
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
18,19,46:54.2,38.901,2.001,170.077,02:19.2,12
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
19,19,47:21.6,66.338,27.437,168.435,02:21.4,13
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
20,19,47:28.5,73.228,6.89,168.027,02:19.4,9
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,17,41:06.9,DNF,-,173.575,02:19.0,9
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
DQ,19,46:14.4,0.602,0.602,172.514,02:20.1,14
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
,,,,,,,
