Pos.,Driver,Time
1,Tuukka Taponen,01:49.8
2,Ugo Ugochukwu,01:49.8
3,Pedro Clerot,01:49.8
4,Taito Kato,01:49.9
5,Mattia Colnaghi,01:49.9
6,Enzo Deligny,01:49.9
7,Alessandro Giusti,01:50.0
8,Freddie Slater,01:50.0
9,Yevan David,01:50.0
10,Ernesto Rivera,01:50.0
11,Brando Badoer,01:50.1
12,Alex Powell,01:50.1
13,Théophile Naël,01:50.3
14,Jin Nakamura,01:50.3
15,Hiyu Yamakoshi,01:50.3
16,Fionn Mclaughlin,01:50.4
17,Bruno Del Pino,01:50.4
18,James Wharton,01:50.4
19,Noah Stromsted,01:50.5
20,Matteo De Palo,01:50.6
21,Jose Garfias,01:50.7
22,Kanato Le,01:50.8
23,Maciej Gladysz,01:51.1
24,Nicola Lacorte,01:51.1
25,Woohyun Shin,01:51.4
26,Niccolò Maccagnani,01:51.5
27,Fernando Barrichello,01:51.6
NC,Nandhavud Bhirombhakdi,
