Pos.,Driver,Time,Points
1,Théophile Naël,29:58.1,11
2,James Wharton,+8.993s,9
3,Alex Powell,+11.227s,8
4,Bruno Del Pino,+13.711s,7
5,Alessandro Giusti,+14.543s,6
6,Ernesto Rivera,+15.307s,5
7,Jin Nakamura,+20.369s,4
8,Ugo Ugochukwu,+20.857s,3
9,Taito Kato,+22.027s,2
10,Tuukka Taponen,+23.617s,1
11,Pedro Clerot,+25.563s,0
12,Matteo De Palo,+26.749s,0
13,Fionn Mclaughlin,+27.225s,0
14,Mattia Colnaghi,+28.178s,0
15,Enzo Deligny,+29.535s,0
16,Yevan David,+36.824s,0
17,Hiyu Yamakoshi,+37.151s,0
18,Freddie Slater,+37.585s,0
19,Maciej Gladysz,+38.013s,0
20,Noah Stromsted,+38.569s,0
21,Brando Badoer,+39.526s,0
22,Jose Garfias,+40.270s,0
23,Nicola Lacorte,+40.746s,0
24,Kanato Le,+42.832s,0
25,Fernando Barrichello,+43.817s,0
26,Woohyun Shin,+44.822s,0
27,Nandhavud Bhirombhakdi,+47.139s,0
28,Niccolò Maccagnani,+48.115s,0
