POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,21,31:31.4,-,-,172.686,01:24.0,9
3,,,,,,,
E. RiveraCampos Racing,,,,,,,
2,21,31:33.1,1.787,1.787,172.523,01:23.6,10
17,,,,,,,
P. ClerotRodin Motorsport,,,,,,,
3,21,31:34.0,2.597,0.81,172.45,01:23.8,10
25,,,,,,,
J. NakamuraHitech TGR,,,,,,,
4,21,31:34.2,2.823,0.226,172.429,01:24.0,17
21,,,,,,,
J. WhartonPREMA Racing,,,,,,,
5,21,31:34.6,3.255,0.432,172.39,01:23.7,10
4,,,,,,,
N. StrømstedTRIDENT,,,,,,,
6,21,31:35.5,4.131,0.876,172.31,01:23.8,10
8,,,,,,,
T. TaponenMP Motorsport,,,,,,,
7,21,31:35.8,4.423,0.292,172.284,01:23.8,10
10,,,,,,,
T. KatoART Grand Prix,,,,,,,
8,21,31:36.3,4.946,0.523,172.236,01:23.8,10
14,,,,,,,
H. YamakoshiVan Amersfoort Racing,,,,,,,
9,21,31:40.6,9.236,4.29,171.847,01:23.9,10
2,,,,,,,
U. UgochukwuCampos Racing,,,,,,,
10,21,31:41.3,9.965,0.729,171.781,01:23.8,11
16,,,,,,,
B. Del PinoVan Amersfoort Racing,,,,,,,
11,21,31:41.9,10.544,0.579,171.729,01:23.8,9
9,,,,,,,
A. GiustiMP Motorsport,,,,,,,
12,21,31:42.4,11.084,0.54,171.68,01:24.0,10
29,,,,,,,
N. LacorteDAMS Lucas Oil,,,,,,,
13,21,31:44.7,13.34,2.256,171.477,01:23.9,11
11,,,,,,,
M. GładyszART Grand Prix,,,,,,,
14,21,31:45.1,13.736,0.396,171.441,01:23.5,9
20,,,,,,,
L. SharpPREMA Racing,,,,,,,
15,21,31:45.5,14.089,0.353,171.41,01:23.8,9
1,,,,,,,
T. NaëlCampos Racing,,,,,,,
16,21,31:45.8,14.477,0.388,171.375,01:23.8,12
31,,,,,,,
G. XieDAMS Lucas Oil,,,,,,,
17,21,31:46.0,14.664,0.187,171.358,01:23.7,10
7,,,,,,,
M. ColnaghiMP Motorsport,,,,,,,
18,21,31:46.3,14.891,0.227,171.338,01:24.0,11
6,,,,,,,
M. De PaloTRIDENT,,,,,,,
19,21,31:52.5,21.172,6.281,170.775,01:24.0,9
27,,,,,,,
Y. DavidAIX Racing,,,,,,,
20,21,31:53.1,21.773,0.601,170.721,01:24.1,8
15,,,,,,,
E. DelignyVan Amersfoort Racing,,,,,,,
21,21,31:54.2,22.831,1.058,170.627,01:24.3,10
18,,,,,,,
B. BadoerRodin Motorsport,,,,,,,
22,21,31:54.8,23.483,0.652,170.569,01:24.3,9
19,,,,,,,
C. HoRodin Motorsport,,,,,,,
23,21,31:56.3,24.975,1.492,170.436,01:23.7,9
28,,,,,,,
F. BarrichelloAIX Racing,,,,,,,
24,21,31:59.0,27.604,2.629,170.202,01:24.0,9
22,,,,,,,
J. GarfiasPREMA Racing,,,,,,,
25,21,31:59.4,28.007,0.403,170.167,01:23.7,9
23,,,,,,,
W. ShinHitech TGR,,,,,,,
26,21,32:00.8,29.44,1.433,170.04,01:24.1,8
26,,,,,,,
S. HannaAIX Racing,,,,,,,
27,21,31:56.5,35.099,5.659,170.425,01:24.2,8
30,,,,,,,
N. BhirombhakdiDAMS Lucas Oil,,,,,,,
29,21,32:24.6,53.231,23.791,167.959,01:23.9,12
24,,,,,,,
F. McLaughlinHitech TGR,,,,,,,
DQ,21,31:35.2,3.869,0.614,172.334,01:23.6,10
12,,,,,,,
K. LeART Grand Prix,,,,,,,
DNF,-,-,DNF,-,-,-,-
5,,,,,,,
F. SlaterTRIDENT,,,,,,,
,,,,,,,
