POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,16,01:21.7,-,-,190.549,15:17:33
14,,,,,,
H. YamakoshiVan Amersfoort Racing,,,,,,
2,13,01:21.7,0.015,0.015,190.514,15:29:03
2,,,,,,
U. UgochukwuCampos Racing,,,,,,
3,13,01:21.8,0.045,0.03,190.444,15:09:11
8,,,,,,
T. TaponenMP Motorsport,,,,,,
4,13,01:21.9,0.129,0.084,190.249,15:08:55
4,,,,,,
N. StrømstedTRIDENT,,,,,,
5,13,01:21.9,0.2,0.071,190.084,15:30:26
5,,,,,,
F. SlaterTRIDENT,,,,,,
6,13,01:22.0,0.245,0.045,189.979,15:07:51
9,,,,,,
A. GiustiMP Motorsport,,,,,,
7,14,01:22.0,0.273,0.028,189.915,15:09:01
10,,,,,,
T. KatoART Grand Prix,,,,,,
8,14,01:22.0,0.31,0.037,189.829,15:09:08
12,,,,,,
K. LeART Grand Prix,,,,,,
9,13,01:22.1,0.329,0.019,189.785,15:30:53
25,,,,,,
J. NakamuraHitech TGR,,,,,,
10,13,01:22.1,0.337,0.008,189.766,15:08:35
17,,,,,,
P. ClerotRodin Motorsport,,,,,,
11,13,01:22.1,0.352,0.015,189.732,15:07:54
3,,,,,,
E. RiveraCampos Racing,,,,,,
12,13,01:22.1,0.371,0.019,189.688,15:08:42
21,,,,,,
J. WhartonPREMA Racing,,,,,,
13,15,01:22.1,0.412,0.041,189.593,15:16:09
16,,,,,,
B. Del PinoVan Amersfoort Racing,,,,,,
14,13,01:22.2,0.426,0.014,189.561,15:09:06
11,,,,,,
M. GładyszART Grand Prix,,,,,,
15,16,01:22.2,0.431,0.005,189.549,15:17:41
15,,,,,,
E. DelignyVan Amersfoort Racing,,,,,,
16,13,01:22.2,0.435,0.004,189.54,15:29:38
19,,,,,,
C. HoRodin Motorsport,,,,,,
17,14,01:22.2,0.482,0.047,189.432,15:30:56
29,,,,,,
N. LacorteDAMS Lucas Oil,,,,,,
18,13,01:22.3,0.521,0.039,189.342,15:07:37
7,,,,,,
M. ColnaghiMP Motorsport,,,,,,
19,14,01:22.3,0.538,0.017,189.303,15:08:58
31,,,,,,
G. XieDAMS Lucas Oil,,,,,,
20,13,01:22.3,0.553,0.015,189.268,15:08:46
20,,,,,,
L. SharpPREMA Racing,,,,,,
21,13,01:22.3,0.581,0.028,189.204,15:31:03
30,,,,,,
N. BhirombhakdiDAMS Lucas Oil,,,,,,
22,13,01:22.3,0.584,0.003,189.197,15:30:41
6,,,,,,
M. De PaloTRIDENT,,,,,,
23,13,01:22.3,0.606,0.022,189.146,15:08:12
24,,,,,,
F. McLaughlinHitech TGR,,,,,,
24,13,01:22.3,0.618,0.012,189.119,15:30:38
1,,,,,,
T. NaëlCampos Racing,,,,,,
25,13,01:22.5,0.773,0.155,188.764,15:29:35
26,,,,,,
S. HannaAIX Racing,,,,,,
26,13,01:22.6,0.851,0.078,188.585,15:30:37
22,,,,,,
J. GarfiasPREMA Racing,,,,,,
27,13,01:22.7,0.948,0.097,188.364,15:30:12
27,,,,,,
Y. DavidAIX Racing,,,,,,
28,13,01:22.7,1.019,0.071,188.202,15:08:22
28,,,,,,
F. BarrichelloAIX Racing,,,,,,
29,13,01:22.8,1.064,0.045,188.1,15:07:22
18,,,,,,
B. BadoerRodin Motorsport,,,,,,
30,13,01:22.9,1.19,0.126,187.814,15:06:53
23,,,,,,
W. ShinHitech TGR,,,,,,
,,,,,,
