Pos.,Driver,Time,Points
1,Ernesto Rivera,34:44.7,25
2,Hiyu Yamakoshi,+1.685s,18
3,Freddie Slater,+4.453s,15
4,Mattia Colnaghi,+4.927s,12
5,Maciej Gladysz,+5.337s,10
6,Taito Kato,+7.815s,9
7,Tuukka Taponen,+9.054s,6
8,Jin Nakamura,+9.378s,4
9,Alessandro Giusti,+10.652s,2
10,Noah Stromsted,+12.524s,1
11,Bruno Del Pino,+13.427s,0
12,Pedro Clerot,+14.113s,0
13,Fionn Mclaughlin,+14.645s,0
14,Brando Badoer,+16.196s,0
15,Théophile Naël,+17.529s,0
16,Louis Sharp,+19.587s,0
17,James Wharton,+22.105s,0
18,Nicola Lacorte,+22.840s,0
19,Woohyun Shin,+23.183s,0
20,Ugo Ugochukwu,+24.413s,0
21,Gerrard Xie,+24.958s,0
22,Jose Garfias,+25.060s,0
23,Kanato Le,+27.770s,0
24,Christian Ho,+29.078s,0
25,Enzo Deligny,+32.522s,0
26,Ricardo Escotto,+42.160s,0
NC,Fernando Barrichello,DNF,0
NC,Matteo De Palo,DNF,0
NC,Yevan David,DNF,0
NC,Nandhavud Bhirombhakdi,DNS,0
