Pos.,Driver,Time
1,Freddie Slater,02:05.2
2,Tuukka Taponen,02:05.4
3,Hiyu Yamakoshi,02:05.5
4,Noah Stromsted,02:05.5
5,Ernesto Rivera,02:05.5
6,Mattia Colnaghi,02:05.7
7,Pedro Clerot,02:05.8
8,Brando Badoer,02:05.9
9,Ugo Ugochukwu,02:05.9
10,Théophile Naël,02:05.9
11,Taito Kato,02:05.9
12,Jin Nakamura,02:06.0
13,Christian Ho,02:06.0
14,Louis Sharp,02:06.0
15,Maciej Gladysz,02:06.1
16,Alessandro Giusti,02:06.2
17,Yevan David,02:06.2
18,Nandhavud Bhirombhakdi,02:06.2
19,James Wharton,02:06.2
20,Gerrard Xie,02:06.2
21,Jose Garfias,02:06.3
22,Bruno Del Pino,02:06.3
23,Matteo De Palo,02:06.3
24,Nicola Lacorte,02:06.4
25,Kanato Le,02:06.4
26,Fernando Barrichello,02:06.6
27,Enzo Deligny,02:06.8
28,Woohyun Shin,02:06.9
29,Fionn Mclaughlin,02:07.0
30,Ricardo Escotto,02:07.4
