Pos.,Driver,Time,Points
1,Jin Nakamura,31:08.9,11
2,Brando Badoer,+0.978s,9
3,Pedro Clerot,+1.459s,8
4,Mattia Colnaghi,+3.053s,7
5,Taito Kato,+3.370s,6
6,Théophile Naël,+3.730s,5
7,Tuukka Taponen,+3.996s,4
8,Ernesto Rivera,+4.514s,3
9,Alessandro Giusti,+4.966s,2
10,Noah Stromsted,+5.657s,1
11,Christian Ho,+6.239s,0
12,Maciej Gladysz,+6.840s,0
13,Louis Sharp,+7.816s,0
14,Nicola Lacorte,+7.856s,0
15,Bruno Del Pino,+8.234s,0
16,Yevan David,+9.957s,0
17,Enzo Deligny,+10.138s,0
18,Kanato Le,+10.282s,0
19,Jose Garfias,+11.209s,0
20,Fernando Barrichello,+11.442s,0
21,Gerrard Xie,+12.191s,0
22,Ricardo Escotto,+13.586s,0
23,Fionn Mclaughlin,+13.842s,0
24,Woohyun Shin,+14.860s,0
25,Nandhavud Bhirombhakdi,+16.148s,0
26,Hiyu Yamakoshi,+16.890s,0
27,James Wharton,+28.983s,0
28,Matteo De Palo,+32.558s,0
29,Ugo Ugochukwu,+1 lap,0
NC,Freddie Slater,DNF,
