Pos.,Driver,Time
1,Rafael Câmara,01:31.3
2,Joshua Dürksen,01:31.4
3,Alexander Dunne,01:31.5
4,Noel Leon,01:31.6
5,Martinius Stenshorne,01:31.7
6,Nikola Tsolov,01:31.7
7,Tasanapol Inthraphuvasak,01:31.8
8,Ritomo Miyata,01:31.9
9,Oliver Goethe,01:32.0
10,John Bennett,01:32.0
11,Gabriele Mini,01:32.1
12,Roman Bilinski,01:32.1
13,Mari Boya,01:32.1
14,Sebastian Montoya,01:32.1
15,Rafael Villagomez,01:32.2
16,Dino Beganovic,01:32.2
17,Nico Varrone,01:32.3
18,Laurens van Hoepen,01:32.4
19,Emerson Fittipaldi,01:32.4
20,Colton Herta,01:32.4
21,Kush Maini,01:32.4
22,Cian Shields,01:32.8
