Pos.,Driver,Time,Points
1,Joshua Dürksen,51:05.9,25
2,Rafael Câmara,+0.424s,19
3,Noel Leon,+4.647s,15
4,John Bennett,+8.039s,12
5,Ritomo Miyata,+8.375s,10
6,Alexander Dunne,+9.361s,8
7,Nikola Tsolov,+9.638s,6
8,Tasanapol Inthraphuvasak,+10.409s,4
9,Oliver Goethe,+14.265s,2
10,Nico Varrone,+15.167s,1
11,Gabriele Mini,+15.954s,0
12,Laurens van Hoepen,+16.598s,0
13,Mari Boya,+17.674s,0
14,Dino Beganovic,+20.612s,0
15,Martinius Stenshorne,+21.060s,0
16,Cian Shields,+24.534s,0
17,Kush Maini,+26.833s,0
18,Sebastian Montoya,+27.946s,0
19,Rafael Villagomez,+30.029s,0
20,Emerson Fittipaldi,+31.549s,0
21,Roman Bilinski,+62.580s,0
NC,Colton Herta,DNF,0
