Pos.,Driver,Time,Points
1,Joshua Dürksen,36:38.7,11
2,John Bennett,+1.263s,8
3,Oliver Goethe,+1.818s,6
4,Noel Leon,+2.284s,5
5,Nikola Tsolov,+3.708s,4
6,Martinius Stenshorne,+4.160s,3
7,Alexander Dunne,+4.306s,2
8,Laurens van Hoepen,+4.754s,1
9,Ritomo Miyata,+5.241s,0
10,Gabriele Mini,+5.492s,0
11,Nico Varrone,+5.695s,0
12,Dino Beganovic,+6.584s,0
13,Mari Boya,+7.235s,0
14,Sebastian Montoya,+7.555s,0
15,Colton Herta,+8.042s,0
16,Emerson Fittipaldi,+8.574s,0
17,Rafael Villagomez,+8.861s,0
18,Cian Shields,+9.104s,0
19,Tasanapol Inthraphuvasak,+10.556s,0
20,Kush Maini,+12.176s,0
NC,Roman Bilinski,DNF,0
NC,Rafael Câmara,DNF,0
