POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,30,44:57.6,-,-,133.596,01:24.6,24
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
2,30,45:01.3,3.705,3.705,133.413,01:23.3,27
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
3,30,45:04.9,7.299,3.594,133.236,01:24.2,26
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
4,30,45:08.1,10.493,3.194,133.079,01:24.4,24
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
5,30,45:08.9,11.257,0.764,133.041,01:24.3,25
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
6,30,45:09.6,11.937,0.68,133.008,01:23.5,23
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
7,30,45:10.9,13.234,1.297,132.944,01:23.3,30
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
8,30,45:11.4,13.766,0.532,132.918,01:23.2,24
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
9,30,45:24.9,27.22,13.454,132.262,01:22.5,29
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
10,30,45:26.3,28.677,1.457,132.191,01:23.7,30
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
11,30,45:29.3,31.687,3.01,132.045,01:24.5,30
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
12,30,45:29.6,31.981,0.294,132.031,01:24.4,30
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
13,30,45:30.8,33.194,1.213,131.972,01:24.8,30
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
14,30,45:41.3,43.613,10.419,131.471,01:24.8,29
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
15,30,45:45.4,47.785,4.172,131.271,01:23.1,30
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
16,30,45:58.7,61.058,13.273,130.639,01:23.9,24
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
17,30,46:01.2,63.597,2.539,130.519,01:22.4,28
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
18,30,46:09.0,71.319,7.722,130.155,01:25.0,10
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
DNF,16,25:20.3,DNF,-,126.429,01:26.8,3
3,,,,,,,
J. MartíCampos Racing,,,,,,,
DNF,10,14:45.2,DNF,-,135.718,01:25.7,7
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
DNF,10,14:56.4,DNF,-,134.022,01:26.1,6
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
DNF,2,03:15.8,DNF,-,122.717,01:29.5,2
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
,,,,,,,
