POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,23,46:24.7,-,-,160.603,01:49.5,7
3,,,,,,,
J. MartíCampos Racing,,,,,,,
2,23,46:25.6,0.922,0.922,160.55,01:49.5,6
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
3,23,46:26.5,1.87,0.948,160.496,01:49.4,8
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
4,23,46:26.6,1.984,0.114,160.489,01:48.9,21
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
5,23,46:27.7,3.028,1.044,160.429,01:50.0,10
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
6,23,46:27.8,3.134,0.106,160.423,01:49.5,7
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
7,23,46:28.0,3.321,0.187,160.412,01:49.6,21
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
8,23,46:28.6,3.972,0.651,160.375,01:49.5,21
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
9,23,46:28.9,4.205,0.233,160.361,01:49.6,21
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
10,23,46:29.2,4.498,0.293,160.344,01:49.7,8
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
11,23,46:29.3,4.657,0.159,160.335,01:49.8,19
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
12,23,46:31.8,7.131,2.474,160.193,01:50.3,7
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
13,23,46:32.6,7.956,0.825,160.146,01:49.8,7
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
14,23,46:33.8,9.176,1.22,160.076,01:50.0,7
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
15,23,46:34.0,9.33,0.154,160.067,01:50.2,10
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
16,23,46:34.1,9.439,0.109,160.061,01:48.1,21
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
17,23,46:35.3,10.633,1.194,159.993,01:50.3,7
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
18,23,46:37.1,12.442,1.089,159.889,01:50.2,7
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
19,23,46:41.9,12.27,4.828,159.899,01:49.3,8
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
DQ,23,46:26.2,1.537,0.615,160.515,01:49.3,8
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
DNF,14,28:17.8,DNF,-,160.135,01:50.8,8
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
DNF,-,-,DNF,-,-,-,-
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
,,,,,,,
