POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,10,01:44.0,-,-,187.324,17:24:06
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
2,10,01:44.2,0.155,0.155,187.045,17:22:55
14,,,,,,
V. MartinsART Grand Prix,,,,,,
3,11,01:44.3,0.284,0.129,186.813,17:23:41
7,,,,,,
L. BrowningHitech TGR,,,,,,
4,10,01:44.3,0.316,0.032,186.756,17:24:09
17,,,,,,
A. DunneRodin Motorsport,,,,,,
5,10,01:44.6,0.547,0.231,186.344,17:23:36
2,,,,,,
R. StanekInvicta Racing,,,,,,
6,8,01:44.6,0.603,0.056,186.244,17:23:12
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
7,10,01:44.7,0.701,0.098,186.069,17:24:24
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
8,10,01:44.7,0.738,0.037,186.004,17:23:56
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
9,11,01:44.8,0.757,0.019,185.97,17:23:45
8,,,,,,
D. BeganovicHitech TGR,,,,,,
10,11,01:44.8,0.794,0.037,185.904,17:23:58
20,,,,,,
J. DürksenAIX Racing,,,,,,
11,8,01:44.8,0.823,0.029,185.853,17:23:20
3,,,,,,
J. MartíCampos Racing,,,,,,
12,10,01:44.8,0.831,0.008,185.839,17:23:01
10,,,,,,
G. MinìPREMA Racing,,,,,,
13,10,01:44.9,0.858,0.027,185.791,17:23:28
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
14,9,01:44.9,0.929,0.071,185.665,17:24:03
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
15,8,01:45.0,0.955,0.026,185.619,17:23:16
5,,,,,,
O. GoetheMP Motorsport,,,,,,
16,8,01:45.0,0.967,0.012,185.598,17:23:23
4,,,,,,
A. LindbladCampos Racing,,,,,,
17,9,01:45.0,0.978,0.011,185.579,17:23:50
23,,,,,,
M. EstersonTRIDENT,,,,,,
18,10,01:45.1,1.043,0.065,185.464,17:23:04
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
19,10,01:45.2,1.144,0.101,185.286,17:23:08
15,,,,,,
R. MiyataART Grand Prix,,,,,,
20,9,01:45.3,1.255,0.111,185.09,17:24:13
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
21,10,01:46.0,1.952,0.697,183.873,17:02:11
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
22,11,01:46.1,2.048,0.096,183.706,17:11:32
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
