POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,32,59:40.1,-,-,173.898,01:49.5,21
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
2,32,59:48.4,8.244,8.244,173.498,01:48.7,15
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
3,32,59:59.6,19.433,11.189,172.959,01:50.0,17
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
4,32,00:00.0,19.867,0.434,172.938,01:50.2,17
3,,,,,,,
J. MartíCampos Racing,,,,,,,
5,32,00:03.2,23.119,3.252,172.782,01:50.2,4
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
6,32,00:03.7,23.573,0.454,172.76,01:49.0,14
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
7,32,00:04.3,24.137,0.564,172.733,01:49.4,14
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
8,32,00:06.8,26.725,2.588,172.609,01:49.4,21
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
9,32,00:15.1,34.945,8.22,172.217,01:49.5,16
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
10,32,00:18.0,37.86,2.915,172.078,01:49.1,15
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
11,32,00:21.2,41.095,3.235,171.924,01:49.1,15
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
12,32,00:23.3,43.201,2.106,171.824,01:50.0,3
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
13,32,00:24.6,44.469,1.268,171.764,01:48.8,20
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
14,32,00:26.7,46.571,2.102,171.665,01:49.7,21
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
15,32,00:27.5,47.403,0.832,171.625,01:50.4,4
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
16,32,00:27.8,47.705,0.302,171.611,01:50.3,3
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
17,32,00:28.8,48.633,0.928,171.567,01:50.2,3
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
18,32,00:33.1,52.956,4.323,171.363,01:50.1,19
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
19,32,00:35.8,55.667,2.711,171.235,01:50.2,14
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
20,32,00:36.0,55.911,0.244,171.224,01:49.3,12
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
21,32,00:38.4,58.288,2.377,171.112,01:49.5,17
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
22,32,00:50.1,69.975,11.687,170.564,01:50.2,16
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
,,,,,,,
