POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,16,01:15.2,-,-,207.015,16:23:36
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
2,16,01:15.2,0.014,0.014,206.977,16:20:48
14,,,,,,
V. MartinsART Grand Prix,,,,,,
3,16,01:15.3,0.024,0.01,206.949,16:20:03
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
4,14,01:15.4,0.171,0.147,206.546,16:20:01
10,,,,,,
G. MinìPREMA Racing,,,,,,
5,16,01:15.4,0.188,0.017,206.499,16:20:06
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
6,16,01:15.4,0.202,0.014,206.461,16:23:34
2,,,,,,
R. StanekInvicta Racing,,,,,,
7,16,01:15.4,0.214,0.012,206.428,16:23:09
17,,,,,,
A. DunneRodin Motorsport,,,,,,
8,16,01:15.5,0.251,0.037,206.327,16:20:45
20,,,,,,
J. DürksenAIX Racing,,,,,,
9,15,01:15.5,0.258,0.007,206.308,16:23:12
3,,,,,,
J. MartíCampos Racing,,,,,,
10,16,01:15.5,0.296,0.038,206.204,16:23:25
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
11,14,01:15.5,0.298,0.002,206.199,16:20:51
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
12,15,01:15.5,0.317,0.019,206.147,16:20:56
4,,,,,,
A. LindbladCampos Racing,,,,,,
13,16,01:15.6,0.345,0.028,206.07,16:20:53
15,,,,,,
R. MiyataART Grand Prix,,,,,,
14,15,01:15.7,0.422,0.077,205.861,16:23:17
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
15,15,01:15.8,0.528,0.106,205.573,16:19:56
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
16,17,01:15.8,0.552,0.024,205.507,16:19:58
5,,,,,,
O. GoetheMP Motorsport,,,,,,
17,15,01:15.8,0.572,0.02,205.453,16:19:53
7,,,,,,
L. BrowningHitech TGR,,,,,,
18,15,01:15.9,0.649,0.077,205.245,16:20:36
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
19,15,01:16.0,0.783,0.134,204.883,16:23:14
23,,,,,,
M. EstersonTRIDENT,,,,,,
20,16,01:16.0,0.808,0.025,204.816,16:23:22
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
21,15,01:16.1,0.861,0.053,204.673,16:23:41
8,,,,,,
D. BeganovicHitech TGR,,,,,,
22,15,01:16.6,1.326,0.465,203.43,16:23:30
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
