POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,40,53:36.5,-,-,193.53,01:18.5,12
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
2,40,53:46.2,9.743,9.743,192.946,01:18.8,13
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
3,40,53:53.6,17.171,7.428,192.503,01:19.0,13
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
4,40,53:54.8,18.303,1.132,192.435,01:18.2,33
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
5,40,53:56.4,19.975,1.672,192.336,01:18.6,13
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
6,40,53:57.2,20.696,0.721,192.293,01:18.8,10
3,,,,,,,
J. MartíCampos Racing,,,,,,,
7,40,53:57.2,20.744,0.048,192.29,01:18.7,12
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
8,40,53:57.4,20.952,0.208,192.278,01:19.2,11
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
9,40,54:00.5,24.021,3.069,192.096,01:19.0,9
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
10,40,54:05.4,28.972,4.951,191.803,01:18.7,35
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
11,40,54:13.3,36.808,7.836,191.341,01:19.4,14
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
12,40,54:18.8,42.303,5.495,191.018,01:19.2,14
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
13,40,54:18.9,42.449,0.146,191.009,01:19.3,13
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
14,40,54:24.4,47.973,5.524,191.272,01:18.9,13
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
15,40,54:25.6,49.109,1.136,190.62,01:18.5,33
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
16,40,54:55.2,78.706,29.597,188.908,01:18.5,35
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
17,39,52:46.0,1 LAP,-,191.697,01:19.1,10
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
DQ,40,53:37.6,1.181,1.181,193.459,01:18.6,8
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
DNF,25,33:55.8,DNF,-,191.022,01:20.1,19
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
DNF,10,14:02.4,DNF,-,184.333,01:19.0,9
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
DNF,-,-,DNF,-,-,-,-
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
DNF,-,-,DNF,-,-,-,-
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
,,,,,,,
