POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,28,11:03.8,-,-,102.161,01:18.9,11
3,,,,,,,
J. MartíCampos Racing,,,,,,,
2,28,11:06.8,2.983,2.983,102.09,01:19.0,8
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
3,28,11:07.1,3.247,0.264,102.084,01:18.8,12
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
4,28,11:11.1,7.265,4.018,101.988,01:18.9,26
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
5,28,11:12.2,8.392,1.127,101.961,01:19.0,11
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
6,28,11:18.1,14.32,5.928,101.819,01:19.0,22
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
7,28,11:18.2,14.371,0.051,101.818,01:19.2,11
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
8,28,11:18.4,14.579,0.208,101.813,01:19.1,21
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
9,28,11:22.8,18.936,4.357,101.71,01:19.3,17
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
10,28,11:23.8,19.964,1.028,101.685,01:19.2,26
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
11,28,11:25.3,21.445,1.481,101.65,01:18.9,17
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
12,28,11:27.7,23.93,2.485,101.591,01:19.6,18
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
13,26,11:45.1,2 LAPS,1 LAP,93.947,01:18.6,25
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
DNF,27,09:47.1,DNF,-,100.314,01:18.8,12
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
DNF,27,09:51.2,DNF,-,100.215,01:19.0,11
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
DNF,27,09:51.9,DNF,-,100.2,01:18.9,12
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
DNF,27,09:52.2,DNF,-,100.192,01:19.1,11
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
DNF,4,37:59.9,DNF,-,27.121,01:45.4,4
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
DNF,1,01:28.3,DNF,-,171.166,-,-
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
DNF,1,01:27.7,DNF,-,172.239,-,-
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
DNF,1,01:27.9,DNF,-,171.961,-,-
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
DNF,-,-,DNS,-,-,-,-
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
