Pos.,Driver,Time
1,Dino Beganovic,01:44.3
2,Alexander Dunne,01:44.6
3,Rafael Câmara,01:44.9
4,Martinius Stenshorne,01:44.9
5,Nikola Tsolov,01:44.9
6,Roman Bilinski,01:45.0
7,Laurens van Hoepen,01:45.0
8,Noel Leon,01:45.2
9,Ritomo Miyata,01:45.3
10,Emerson Fittipaldi,01:45.4
11,Rafael Villagomez,01:45.6
12,Colton Herta,01:45.7
13,Mari Boya,01:45.7
14,Gabriele Mini,01:45.7
15,Oliver Goethe,01:46.0
16,Joshua Dürksen,01:46.5
17,John Bennett,01:47.0
18,Cian Shields,01:47.2
NC,Kush Maini,
NC,Sebastian Montoya,02:14.2
NC,Tasanapol Inthraphuvasak,
NC,Nico Varrone,
