Pos.,Driver,Time,Points
1,Dino Beganovic,03:29.2,25
2,Alexander Dunne,+7.320s,19
3,Ritomo Miyata,+14.015s,15
4,Joshua Dürksen,+16.691s,12
5,Emerson Fittipaldi,+19.630s,10
6,Tasanapol Inthraphuvasak,+20.458s,8
7,Gabriele Mini,+21.268s,6
8,Martinius Stenshorne,+21.497s,4
9,Roman Bilinski,+28.311s,2
10,Rafael Câmara,+35.386s,1
11,Mari Boya,+36.234s,0
12,Laurens van Hoepen,+37.403s,0
13,Sebastian Montoya,+37.629s,0
14,Rafael Villagomez,+40.781s,0
15,Nico Varrone,+41.215s,0
16,Noel Leon,+42.032s,0
17,Cian Shields,+43.311s,0
18,Nikola Tsolov,+47.888s,0
NC,Oliver Goethe,DNF,0
NC,John Bennett,DNF,0
NC,Kush Maini,DNF,0
