POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,14,01:36.8,-,-,196.327,15:25:09
2,,,,,,
R. StanekInvicta Racing,,,,,,
2,13,01:36.9,0.087,0.087,196.151,15:28:39
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
3,13,01:37.0,0.134,0.047,196.056,15:31:18
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
4,13,01:37.0,0.188,0.054,195.947,15:27:45
8,,,,,,
D. BeganovicHitech TGR,,,,,,
5,12,01:37.0,0.204,0.016,195.915,15:24:28
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
6,12,01:37.1,0.26,0.056,195.802,15:27:33
5,,,,,,
O. GoetheMP Motorsport,,,,,,
7,12,01:37.1,0.293,0.033,195.735,15:24:34
14,,,,,,
V. MartinsART Grand Prix,,,,,,
8,12,01:37.2,0.316,0.023,195.689,15:29:00
20,,,,,,
J. DürksenAIX Racing,,,,,,
9,13,01:37.2,0.395,0.079,195.53,15:27:40
3,,,,,,
N. TsolovCampos Racing,,,,,,
10,13,01:37.2,0.411,0.016,195.498,15:23:34
4,,,,,,
A. LindbladCampos Racing,,,,,,
11,13,01:37.3,0.493,0.082,195.333,15:28:50
17,,,,,,
A. DunneRodin Motorsport,,,,,,
12,12,01:37.4,0.604,0.111,195.11,15:23:39
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
13,12,01:37.5,0.649,0.045,195.02,15:28:54
10,,,,,,
G. MinìPREMA Racing,,,,,,
14,13,01:37.6,0.732,0.083,194.854,15:28:30
15,,,,,,
R. MiyataART Grand Prix,,,,,,
15,13,01:37.6,0.775,0.043,194.769,15:24:21
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
16,13,01:37.6,0.777,0.002,194.765,15:28:04
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
17,13,01:37.6,0.784,0.007,194.751,15:27:51
7,,,,,,
L. BrowningHitech TGR,,,,,,
18,13,01:37.7,0.855,0.071,194.609,15:28:48
16,,,,,,
M. StenshorneRodin Motorsport,,,,,,
19,13,01:37.7,0.904,0.049,194.511,15:28:21
22,,,,,,
L. van HoepenTRIDENT,,,,,,
20,12,01:38.1,1.24,0.336,193.845,15:11:01
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
21,12,01:38.3,1.472,0.232,193.388,15:24:54
21,,,,,,
C. ShieldsAIX Racing,,,,,,
22,12,01:39.7,2.865,1.393,190.686,15:28:35
23,,,,,,
T. InthraphuvasakTRIDENT,,,,,,
,,,,,,
