POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,33,01:24.4,-,-,170.167,01:41.4,30
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
2,33,01:29.9,5.505,5.505,169.913,01:41.5,6
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
3,33,01:30.5,6.057,0.552,169.887,01:41.5,30
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
4,33,01:30.8,6.339,0.282,169.874,01:41.2,32
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
5,33,01:36.8,12.349,6.01,169.598,01:41.4,29
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
6,33,01:40.6,16.168,3.819,169.423,01:41.8,29
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
7,33,01:41.3,16.898,0.73,169.39,01:41.8,32
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
8,33,01:41.8,17.413,0.515,169.366,01:42.0,30
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
9,33,01:48.9,24.448,7.035,169.045,01:39.4,33
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
10,33,01:50.2,25.789,1.341,168.984,01:38.8,33
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
11,33,01:51.1,26.625,0.836,168.946,01:39.2,33
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
12,33,01:55.1,30.71,4.085,168.76,01:39.7,31
3,,,,,,,
N. TsolovCampos Racing,,,,,,,
13,33,01:58.2,33.738,3.028,168.623,01:39.4,33
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
14,33,02:01.8,37.38,3.642,168.458,01:42.2,20
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
15,33,02:02.9,38.432,1.052,168.41,01:39.6,31
16,,,,,,,
M. StenshorneRodin Motorsport,,,,,,,
16,33,02:07.4,42.986,4.554,168.204,01:40.2,31
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
17,33,02:16.9,52.498,9.512,167.776,01:39.8,31
23,,,,,,,
T. InthraphuvasakTRIDENT,,,,,,,
DNF,8,16:29.6,DNF,-,153.271,01:41.8,8
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
DNF,1,01:51.8,DNF,-,166.354,-,-
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
DNF,1,01:54.3,DNF,-,162.667,-,-
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
DNF,1,01:51.4,DNF,-,166.987,-,-
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
DNF,-,-,DNS,-,-,-,-
22,,,,,,,
L. van HoepenTRIDENT,,,,,,,
,,,,,,,
