POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,23,39:15.6,-,-,185.449,01:40.4,5
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
2,23,39:16.6,0.982,0.982,185.371,01:40.5,6
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
3,23,39:25.3,9.605,8.623,184.696,01:41.0,4
3,,,,,,,
N. TsolovCampos Racing,,,,,,,
4,23,39:28.4,12.764,3.159,184.449,01:41.0,4
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
5,23,39:31.3,15.637,2.873,184.226,01:41.1,5
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
6,23,39:32.5,16.86,1.223,184.131,01:41.1,4
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
7,23,39:34.5,18.892,2.032,183.973,01:41.1,4
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
8,23,39:36.5,20.887,1.995,183.819,01:41.2,4
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
9,23,39:39.2,23.525,2.638,183.615,01:41.2,5
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
10,23,39:40.0,24.322,0.797,183.553,01:41.2,4
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
11,23,39:41.2,25.506,1.184,183.462,01:41.4,10
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
12,23,39:42.0,26.315,0.809,183.4,01:41.5,10
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
13,23,39:43.9,28.212,1.897,183.254,01:41.5,23
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
14,23,39:45.1,29.42,1.208,183.161,01:41.7,5
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
15,23,39:45.5,29.811,0.391,183.131,01:41.6,10
22,,,,,,,
L. van HoepenTRIDENT,,,,,,,
16,23,39:48.0,32.376,2.565,182.934,01:41.8,12
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
17,23,39:49.4,33.8,1.424,182.825,01:41.7,22
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
18,23,39:52.4,36.726,2.926,182.602,01:41.8,19
23,,,,,,,
T. InthraphuvasakTRIDENT,,,,,,,
19,23,40:07.1,51.412,14.686,181.488,01:42.3,5
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
20,23,40:27.3,71.646,20.234,179.975,01:39.6,22
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
DNF,22,38:14.9,DNF,-,182.076,01:41.9,22
16,,,,,,,
M. StenshorneRodin Motorsport,,,,,,,
DNF,7,12:04.8,DNF,-,183.038,01:41.8,5
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
,,,,,,,
